"公開申購公告-抽籤日程表"
"序號","抽籤日期","證券名稱","證券代號","發行市場","申購開始日","申購結束日","承銷股數","實際承銷股數","承銷價(元)","實際承銷價(元)","撥券日期(上市、上櫃日期)","主辦券商","申購股數","總承銷金額(元)","總合格件","中籤率(%)","取消公開抽籤",
"1","107/12/21","同泰","3321","上市增資","107/12/17","107/12/19","2,550,000","2,550,000","9","9","107/12/28","臺銀證券","1,000","22,950,000","61,553","4.14","",
"2","107/12/21","三商壽","2867","上市增資","107/12/17","107/12/19","13,500,000","13,500,000","11.3","11.3","107/12/28","國泰","1,000","152,550,000","49,866","27.07","",
"3","107/12/20","崇佑-KY","5543","第一上櫃公司現金增資","107/12/14","107/12/18","450,000","450,000","18.6","18.6","107/12/27","國票","1,000","8,370,000","9,371","4.8","",
"4","107/12/19","富林-KY","1341","第一上市公司初上市","107/12/13","107/12/17","1,240,000","1,240,000","28.8","28.8","107/12/24","中國信託","1,000","35,712,000","71,826","1.72","",
"5","107/12/19","虹堡","5258","上市增資","107/12/13","107/12/17","1,350,000","1,350,000","13","13","107/12/26","台新","1,000","17,550,000","10,097","13.37","",
"6","107/12/19","普鴻","6590","初上櫃","107/12/13","107/12/17","441,000","441,000","19.14","19.14","107/12/24","日盛","1,000","8,440,740","114,346","0.38","",
"7","107/12/17","光隆甲特","8916A","上櫃增資","107/12/11","107/12/13","1,638,000","1,638,000","50","50","108/01/29","凱基","1,000","81,900,000","5,362","30.54","",
"8","107/12/12",="07央債甲12","A071LO","中央登錄公債","107/12/04","107/12/10","675,000","675,000","99.921","99.921","107/12/17","中華郵政公司","15,000","67,446,675","0","0","",
"9","107/12/12",="07央債甲12","A071LD","中央登錄公債","107/12/04","107/12/10","450,000","450,000","99.921","99.921","107/12/17","中華郵政公司","10,000","44,964,450","0","0","",
"10","107/12/12",="07央債甲12","A071LC","中央登錄公債","107/12/04","107/12/10","225,000","225,000","99.921","99.921","107/12/17","中華郵政公司","5,000","22,482,225","0","0","",
"11","107/12/12",="07央債甲12","A071LA","中央登錄公債","107/12/04","107/12/10","60,000","60,000","99.921","99.921","107/12/17","中華郵政公司","1,000","5,995,260","0","0","",
"12","107/12/12","復盛應用","6670","初上市","107/12/06","107/12/10","3,748,000","3,748,000","120","120","107/12/18","富邦","1,000","449,760,000","137,033","2.73","",
"13","107/12/12",="07央債甲12","A071LB","中央登錄公債","107/12/04","107/12/10","90,000","90,000","99.921","99.921","107/12/17","中華郵政公司","2,000","8,992,890","0","0","",
"14","107/12/11","精湛","2070","初上櫃","107/12/05","107/12/07","865,000","865,000","31.87","31.87","107/12/17","永豐金","1,000","27,567,550","79,328","1.09","",
"15","107/12/10","台泥乙特","1101B","上市增資","107/12/04","107/12/06","17,000,000","17,000,000","50","50","108/01/23","元大","1,000","850,000,000","6,008","100","",
"16","107/12/10","茂矽","2342","上市增資","107/12/04","107/12/06","3,570,000","3,570,000","20.5","20.5","107/12/18","元大","2,000","73,185,000","124,257","1.43","",
"17","107/12/07","上曜","1316","上市增資","107/12/03","107/12/05","4,450,000","4,450,000","12","12","107/12/17","元富","1,000","53,400,000","15,465","28.77","",
"18","107/12/06","榮成","1909","上市增資","107/11/30","107/12/04","3,060,000","3,060,000","16.2","16.2","107/12/14","第一金","1,000","49,572,000","34,060","8.98","",
"19","107/12/06","緯軟","4953","上櫃增資","107/11/30","107/12/04","1,020,000","1,020,000","46","46","107/12/14","凱基","1,000","46,920,000","155,507","0.65","",
"20","107/12/06","日馳","1526","上市增資","107/11/30","107/12/04","850,000","850,000","13.85","13.85","107/12/14","日盛","1,000","11,772,500","186,871","0.45","",
"21","107/12/06","中揚光","6668","初上市","107/11/30","107/12/04","2,080,000","2,080,000","58","58","107/12/12","元大","1,000","120,640,000","137,036","1.51","",
"22","107/12/05","三能-KY","6671","第一上市公司初上市","107/11/29","107/12/03","2,126,000","2,126,000","41.48","41.48","107/12/11","兆豐","1,000","88,186,480","56,883","3.73","",
"23","107/12/05","聚亨","2022","上市增資","107/11/29","107/12/03","9,500,000","9,500,000","6.05","6.05","107/12/13","台新","5,000","57,475,000","39,070","4.86","",
"24","107/12/04",="07央債甲09","A071IF","中央登錄公債","107/11/26","107/11/30","120,000","120,000","99.447","99.447","107/12/07","中華郵政公司","2,000","11,933,640","0","0","",
"25","107/12/04",="07央債甲09","A071IG","中央登錄公債","107/11/26","107/11/30","300,000","300,000","99.447","99.447","107/12/07","中華郵政公司","5,000","29,834,100","0","0","",
"26","107/12/04","康普","4739","上市增資","107/11/28","107/11/30","510,000","510,000","75","75","107/12/12","福邦","1,000","38,250,000","102,305","0.49","",
"27","107/12/04",="07央債甲09","A071IH","中央登錄公債","107/11/26","107/11/30","600,000","600,000","99.447","99.447","107/12/07","中華郵政公司","10,000","59,668,200","0","0","",
"28","107/12/04",="07央債甲09","A071IP","中央登錄公債","107/11/26","107/11/30","900,000","900,000","99.447","99.447","107/12/07","中華郵政公司","15,000","89,502,300","0","0","",
"29","107/12/04",="07央債甲09","A071IE","中央登錄公債","107/11/26","107/11/30","80,000","80,000","99.447","99.447","107/12/07","中華郵政公司","1,000","7,955,760","0","0","",
"30","107/11/29","興能高","6558","初上市","107/11/23","107/11/27","2,333,000","2,333,000","18","18","107/12/05","富邦","1,000","41,994,000","128,330","1.81","",
"31","107/11/27","台新戊特二","2887F","上市增資","107/11/21","107/11/23","27,000,000","27,000,000","50","50","108/01/08","凱基","2,000","1,350,000,000","4,757","100","",
"32","107/11/27","台中銀","2812","上市增資","107/11/21","107/11/23","14,250,000","14,250,000","10.2","10.2","107/12/05","凱基","2,000","145,350,000","1,878","100","",
"33","107/11/26","王道銀甲特","2897A","上市增資","107/11/20","107/11/22","28,500,000","28,500,000","10","10","108/01/09","元大","5,000","285,000,000","8,305","68.63","",
"34","107/11/22","科定","6655","初上市","107/11/16","107/11/20","1,132,000","1,132,000","60.32","60.32","107/11/28","中國信託","1,000","68,282,240","75,168","1.5","",
"35","107/11/22","鋐寶科技","6674","初上市","107/11/16","107/11/20","1,539,000","1,539,000","30.84","30.84","107/11/28","凱基","1,000","47,462,760","72,422","2.12","",
"36","107/11/22","長榮","2603","上市增資","107/11/16","107/11/20","27,000,000","27,000,000","10.7","10.7","107/11/30","永豐金","5,000","288,900,000","83,071","6.5","",
"37","107/11/22","南寶","4766","初上市","107/11/16","107/11/20","3,554,000","3,554,000","76.8","76.8","107/11/28","富邦","1,000","272,947,200","114,413","3.1","",
"38","107/11/20",="07央債甲11","A071KB","中央登錄公債","107/11/12","107/11/16","120,000","120,000","99.81","99.81","107/11/23","中華郵政公司","2,000","11,977,200","0","0","",
"39","107/11/20",="07央債甲11","A071KA","中央登錄公債","107/11/12","107/11/16","80,000","80,000","99.81","99.81","107/11/23","中華郵政公司","1,000","7,984,800","0","0","",
"40","107/11/20",="07央債甲11","A071KO","中央登錄公債","107/11/12","107/11/16","900,000","900,000","99.81","99.81","107/11/23","中華郵政公司","15,000","89,829,000","0","0","",
"41","107/11/20",="07央債甲11","A071KD","中央登錄公債","107/11/12","107/11/16","600,000","600,000","99.81","99.81","107/11/23","中華郵政公司","10,000","59,886,000","0","0","",
"42","107/11/20",="07央債甲11","A071KC","中央登錄公債","107/11/12","107/11/16","300,000","300,000","99.81","99.81","107/11/23","中華郵政公司","5,000","29,943,000","0","0","",
"43","107/11/13","公準","3178","初上櫃","107/11/07","107/11/09","1,001,000","1,001,000","29.63","29.63","107/11/19","第一金","1,000","29,659,630","13,945","7.17","",
"44","107/11/13","羅麗芬-KY","6666","第一上市公司初上市","107/11/07","107/11/09","432,000","1,512,000","110","105","107/11/19","永豐金","1,000","158,760,000","21,968","6.88","",
"45","107/11/08","研勤","3632","上櫃增資","107/11/02","107/11/06","927,000","927,000","10","10","107/11/16","富邦","1,000","9,270,000","14,050","6.59","",
"46","107/11/07","信紘","6667","初上櫃","107/11/01","107/11/05","635,000","635,000","37.02","37.02","107/11/13","第一金","1,000","23,507,700","35,356","1.79","",
"47","107/11/06",="07央債甲10","A071JB","中央登錄公債","107/10/29","107/11/02","120,000","120,000","99.367","99.367","107/11/09","中華郵政公司","2,000","11,924,040","0","0","",
"48","107/11/06",="07央債甲10","A071JD","中央登錄公債","107/10/29","107/11/02","600,000","600,000","99.367","99.367","107/11/09","中華郵政公司","10,000","59,620,200","0","0","",
"49","107/11/06",="07央債甲10","A071JC","中央登錄公債","107/10/29","107/11/02","300,000","300,000","99.367","99.367","107/11/09","中華郵政公司","5,000","29,810,100","0","0","",
"50","107/11/06",="07央債甲10","A071JO","中央登錄公債","107/10/29","107/11/02","900,000","900,000","99.367","99.367","107/11/09","中華郵政公司","15,000","89,430,300","0","0","",
"51","107/11/06",="07央債甲10","A071JA","中央登錄公債","107/10/29","107/11/02","80,000","80,000","99.367","99.367","107/11/09","中華郵政公司","1,000","7,949,360","0","0","",
"52","107/10/23","誠泰科技","4767","初上櫃","107/10/17","107/10/19","565,000","565,000","18","18","107/10/29","凱基","1,000","10,170,000","40,096","1.4","",
"53","107/10/17","天正國際","6654","初上櫃","107/10/11","107/10/15","733,000","733,000","73.58","73.58","107/10/23","台新","1,000","53,934,140","22,386","3.27","",
"54","107/10/17","均華","6640","初上櫃","107/10/11","107/10/15","435,000","435,000","37.5","37.5","107/10/23","凱基","1,000","16,312,500","28,159","1.54","",
"55","107/10/15","上海商銀","5876","初上市","107/10/08","107/10/11","4,000,000","4,000,000","32.28","32.28","107/10/19","華南永昌","1,000","129,120,000","109,187","3.66","",
"56","107/10/12",="07央債甲09","A071IO","中央登錄公債","107/10/03","107/10/09","1,125,000","1,125,000","99.525","99.525","107/10/17","中華郵政公司","15,000","111,965,625","0","0","",
"57","107/10/12",="07央債甲09","A071IB","中央登錄公債","107/10/03","107/10/09","150,000","150,000","99.525","99.525","107/10/17","中華郵政公司","2,000","14,928,750","0","0","",
"58","107/10/12",="07央債甲09","A071IA","中央登錄公債","107/10/03","107/10/09","100,000","100,000","99.525","99.525","107/10/17","中華郵政公司","1,000","9,952,500","0","0","",
"59","107/10/12",="07央債甲09","A071ID","中央登錄公債","107/10/03","107/10/09","750,000","750,000","99.525","99.525","107/10/17","中華郵政公司","10,000","74,643,750","0","0","",
"60","107/10/12",="07央債甲09","A071IC","中央登錄公債","107/10/03","107/10/09","375,000","375,000","99.525","99.525","107/10/17","中華郵政公司","5,000","37,321,875","0","0","",
"61","107/10/11","裕融企業甲特","9941A","上市增資","107/10/04","107/10/08","9,500,000","9,500,000","50","50","107/11/20","凱基","1,000","475,000,000","9,999","95","",
"62","107/10/11","飛寶企業","4413","上櫃增資","107/10/04","107/10/08","720,000","720,000","12.5","12.5","107/10/19","台新","1,000","9,000,000","5,779","12.45","",
"63","107/10/11","天鈺","4961","初上市","107/10/04","107/10/08","3,213,000","3,213,000","33","33","107/10/17","福邦","1,000","106,029,000","117,589","2.73","",
"64","107/10/09","中橡","2104","上市增資","107/10/03","107/10/05","15,734,000","15,734,000","38","38","107/10/18","元大","2,000","597,892,000","10,723","73.36","",
"65","107/10/09","大成鋼","2027","上市增資","107/10/03","107/10/05","21,250,000","21,250,000","42","42","107/10/18","統一","2,000","892,500,000","173,366","6.12","",
"66","107/10/08","康聯-KY","4144","第一上市公司現金增資","107/10/02","107/10/04","1,350,000","1,350,000","30","30","107/10/17","元大","2,000","40,500,000","7,225","9.34","",
"67","107/09/27","科際精密","4568","初上櫃","107/09/20","107/09/25","569,000","569,000","75","75","107/10/03","永豐金","1,000","42,675,000","115,854","0.49","",
"68","107/09/25",="07央債甲07","A071GH","中央登錄公債","107/09/14","107/09/20","600,000","600,000","99.397","99.397","107/09/28","中華郵政公司","10,000","59,638,200","0","0","",
"69","107/09/25",="07央債甲07","A071GP","中央登錄公債","107/09/14","107/09/20","900,000","900,000","99.397","99.397","107/09/28","中華郵政公司","15,000","89,457,300","0","0","",
"70","107/09/25",="07央債甲07","A071GE","中央登錄公債","107/09/14","107/09/20","80,000","80,000","99.397","99.397","107/09/28","中華郵政公司","1,000","7,951,760","0","0","",
"71","107/09/25",="07央債甲07","A071GF","中央登錄公債","107/09/14","107/09/20","120,000","120,000","99.397","99.397","107/09/28","中華郵政公司","2,000","11,927,640","0","0","",
"72","107/09/25",="07央債甲07","A071GG","中央登錄公債","107/09/14","107/09/20","300,000","300,000","99.397","99.397","107/09/28","中華郵政公司","5,000","29,819,100","0","0","",
"73","107/09/20","頂晶","3562","上櫃增資","107/09/14","107/09/18","1,800,000","1,800,000","12.85","12.85","107/10/01","第一金","1,000","23,130,000","1,931","93.21","",
"74","107/09/19","運錩","2069","上市增資","107/09/13","107/09/17","900,000","900,000","20","20","107/09/28","台新","1,000","18,000,000","33,605","2.67","",
"75","107/09/18",="07央債甲08","A071HO","中央登錄公債","107/09/10","107/09/14","900,000","900,000","99.503","99.503","107/09/21","中華郵政公司","15,000","89,552,700","0","0","",
"76","107/09/18",="07央債甲08","A071HC","中央登錄公債","107/09/10","107/09/14","300,000","300,000","99.503","99.503","107/09/21","中華郵政公司","5,000","29,850,900","0","0","",
"77","107/09/18",="07央債甲08","A071HA","中央登錄公債","107/09/10","107/09/14","80,000","80,000","99.503","99.503","107/09/21","中華郵政公司","1,000","7,960,240","0","0","",
"78","107/09/18",="07央債甲08","A071HB","中央登錄公債","107/09/10","107/09/14","120,000","120,000","99.503","99.503","107/09/21","中華郵政公司","2,000","11,940,360","0","0","",
"79","107/09/18",="07央債甲08","A071HD","中央登錄公債","107/09/10","107/09/14","600,000","600,000","99.503","99.503","107/09/21","中華郵政公司","10,000","59,701,800","0","0","",
"80","107/09/18","大國鋼","8415","上櫃增資","107/09/12","107/09/14","35,700,000","35,700,000","28","28","107/09/27","統一","2,000","999,600,000","113,156","15.77","",
"81","107/09/17","基士德-KY","6641","第一上市公司初上市","107/09/11","107/09/13","930,000","930,000","75","75","107/09/21","永豐金","1,000","69,750,000","39,614","2.34","",
"82","107/09/13","虹揚-KY","6573","第一上市公司現金增資","107/09/07","107/09/11","225,000","225,000","40","40","107/09/21","康和","1,000","9,000,000","39,321","0.57","",
"83","107/09/12","達邦蛋白","6578","初上櫃","107/09/06","107/09/10","795,000","795,000","20","20","107/09/18","永豐金","1,000","15,900,000","79,549","0.99","",
"84","107/09/12","慶豐富","9935","上市增資","107/09/06","107/09/10","1,360,000","1,360,000","17","17","107/09/20","群益金鼎","1,000","23,120,000","1,878","72.41","",
"85","107/09/06","群翊","6664","初上櫃","107/08/31","107/09/04","1,150,000","1,150,000","55","55","107/09/12","福邦","1,000","63,250,000","121,206","0.94","",
"86","107/09/06","建新國際","8367","初上市","107/08/31","107/09/04","2,418,000","2,418,000","20.08","20.08","107/09/12","凱基","1,000","48,553,440","91,592","2.63","",
"87","107/09/05","國揚實業","2505","上市增資","107/08/30","107/09/03","10,200,000","10,200,000","11","11","107/09/13","宏遠","3,000","112,200,000","39,490","8.6","",
"88","107/09/05","海灣","3252","上櫃增資","107/08/30","107/09/03","1,688,000","1,688,000","16.8","16.8","107/09/13","國票","1,000","28,358,400","5,420","31.14","",
"89","107/09/03","富驊","5465","上櫃增資","107/08/28","107/08/30","1,700,000","1,700,000","21","21","107/09/11","福邦","1,000","35,700,000","57,087","2.97","",
"90","107/08/31","上銀科技","2049","上市增資","107/08/27","107/08/29","1,080,000","1,080,000","250","250","107/09/10","凱基","1,000","270,000,000","60,219","1.79","",
"91","107/08/29","先進光電","3362","上櫃增資","107/08/23","107/08/27","1,328,000","1,328,000","62.5","62.5","107/09/06","國票","1,000","83,000,000","696","100","",
