"公開申購公告-抽籤日程表"
"序號","抽籤日期","證券名稱","證券代號","發行市場","申購開始日","申購結束日","承銷股數","實際承銷股數","承銷價(元)","實際承銷價(元)","撥券日期(上市、上櫃日期)","主辦券商","申購股數","總承銷金額(元)","總合格件","中籤率(%)","取消公開抽籤",
"1","106/12/29","謚源","2235","上櫃增資","106/12/25","106/12/27","340,000","340,000","83","83","107/01/09","統一","1,000","28,220,000","38,658","0.87","",
"2","106/12/28","雙鍵","4764","初上市","106/12/22","106/12/26","1,644,000","1,644,000","48","48","107/01/04","永豐金","1,000","78,912,000","178,780","0.91","",
"3","106/12/28","嘉晶","3016","上市增資","106/12/22","106/12/26","2,550,000","2,550,000","29.8","29.8","107/01/08","凱基","1,000","75,990,000","43,354","5.88","",
"4","106/12/28","寬宏","6596","初上櫃","106/12/22","106/12/26","661,000","661,000","62.84","62.84","107/01/04","福邦","1,000","41,537,240","85,333","0.77","",
"5","106/12/22","動力-KY","6591","第一上市公司初上市","106/12/18","106/12/20","238,000","1,428,000","62","60","106/12/28","康和","1,000","85,680,000","115,149","1.24","",
"6","106/12/22","朋億","6613","初上櫃","106/12/18","106/12/20","1,279,000","1,279,000","135","135","106/12/28","凱基","1,000","172,665,000","147,023","0.86","",
"7","106/12/22","長華科","6548","上櫃增資","106/12/18","106/12/20","510,000","510,000","400","400","107/01/02","富邦","1,000","204,000,000","6,512","7.83","",
"8","106/12/20","中信金乙特","2891B","上市增資","106/12/14","106/12/18","28,334,000","28,334,000","60","60","107/01/26","元大","1,000","1,700,040,000","9,513","100","",
"9","106/12/18","全科","3209","上市增資","106/12/12","106/12/14","1,360,000","1,360,000","18","18","106/12/26","富邦","1,000","24,480,000","64,050","2.12","",
"10","106/12/12","華邦電","2344","上市增資","106/12/06","106/12/08","34,000,000","34,000,000","22","22","106/12/20","中國信託","1,000","748,000,000","132,516","25.65","",
"11","106/12/12","大成鋼","2027","上市增資","106/12/06","106/12/08","7,650,000","7,650,000","18","18","106/12/20","統一","1,000","137,700,000","50,043","15.28","",
"12","106/12/11","文曄","3036","上市增資","106/12/05","106/12/07","6,375,000","6,375,000","38","38","106/12/19","福邦","1,000","242,250,000","162,134","3.93","",
"13","106/12/11","閎康","3587","上櫃增資","106/12/05","106/12/07","765,000","765,000","82","82","106/12/19","富邦","1,000","62,730,000","7,860","9.73","",
"14","106/12/05",="06央債甲09",="06109N","中央登錄公債","106/11/27","106/12/01","1,380,000","1,380,000","100.392","100.392","106/12/08","中華郵政公司","10,000","138,540,960","0","0","",
"15","106/12/05","東哥遊艇","8478","初上市","106/11/29","106/12/01","3,299,000","3,299,000","72.8","72.8","106/12/11","凱基","1,000","240,167,200","146,821","2.24","",
"16","106/12/05",="06央債甲09",="06109K","中央登錄公債","106/11/27","106/12/01","154,000","154,000","100.392","100.392","106/12/08","中華郵政公司","1,000","15,460,368","0","0","",
"17","106/12/05",="06央債甲09",="06109M","中央登錄公債","106/11/27","106/12/01","690,000","690,000","100.392","100.392","106/12/08","中華郵政公司","5,000","69,270,480","0","0","",
"18","106/12/05",="06央債甲09",="06109L","中央登錄公債","106/11/27","106/12/01","276,000","276,000","100.392","100.392","106/12/08","中華郵政公司","2,000","27,708,192","0","0","",
"19","106/12/05","先進光","3362","上櫃增資","106/11/29","106/12/01","850,000","850,000","60","60","106/12/13","元富","1,000","51,000,000","91,054","0.93","",
"20","106/12/05","維田","6570","初上櫃","106/11/29","106/12/01","637,000","637,000","25.2","25.2","106/12/11","中國信託","1,000","16,052,400","103,540","0.61","",
"21","106/12/04","嘉鋼","2067","上櫃增資","106/11/28","106/11/30","680,000","680,000","11.5","11.5","106/12/12","華南永昌","1,000","7,820,000","22,199","3.06","",
"22","106/12/04","崇越","5434","上市增資","106/11/28","106/11/30","1,343,000","1,343,000","65","65","106/12/12","福邦","1,000","87,295,000","157,084","0.85","",
"23","106/11/29","訊映","4155","初上市","106/11/23","106/11/27","1,581,000","1,581,000","22","22","106/12/05","富邦","1,000","34,782,000","182,994","0.86","",
"24","106/11/29","長榮","2603","上市增資","106/11/23","106/11/27","42,537,000","42,537,000","15.3","15.3","106/12/07","永豐金","3,000","650,816,100","145,356","9.75","",
"25","106/11/22","陽明","2609","上市增資","106/11/16","106/11/20","42,501,000","42,501,000","12","12","106/11/30","凱基","3,000","510,012,000","2,093","100","",
"26","106/11/22","康友-KY","6452","第一上市公司現金增資","106/11/16","106/11/20","255,000","255,000","390","390","106/11/30","元大","1,000","99,450,000","36,596","0.69","",
"27","106/11/21",="06央債甲11",="06111A","中央登錄公債","106/11/13","106/11/17","154,000","154,000","99.015","99.015","106/11/24","中華郵政公司","1,000","15,248,310","0","0","",
"28","106/11/21",="06央債甲11",="06111C","中央登錄公債","106/11/13","106/11/17","690,000","690,000","99.015","99.015","106/11/24","中華郵政公司","5,000","68,320,350","0","0","",
"29","106/11/21",="06央債甲11",="06111B","中央登錄公債","106/11/13","106/11/17","276,000","276,000","99.015","99.015","106/11/24","中華郵政公司","2,000","27,328,140","0","0","",
"30","106/11/21",="06央債甲11",="06111D","中央登錄公債","106/11/13","106/11/17","1,380,000","1,380,000","99.015","99.015","106/11/24","中華郵政公司","10,000","136,640,700","0","0","",
"31","106/11/20","鼎炫-KY","8499","第一上市公司初上市","106/11/14","106/11/16","1,811,000","1,811,000","96","96","106/11/24","凱基","1,000","173,856,000","76,417","2.36","",
"32","106/11/20","愛地雅","8933","上櫃增資","106/11/14","106/11/16","2,600,000","2,600,000","10","10","106/11/28","台新","1,000","26,000,000","23,551","11.03","",
"33","106/11/17","崇佑-KY","5543","第一上櫃公司現金增資","106/11/13","106/11/15","315,000","315,000","20.6","20.6","106/11/27","國泰","1,000","6,489,000","7,729","4.07","",
"34","106/11/17","益張","8342","初上櫃","106/11/13","106/11/15","610,000","610,000","41","41","106/11/23","台新","1,000","25,010,000","117,413","0.51","",
