出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"110/06/19","104/1","1258","其祥-KY","食品工業","112536","112611","124601","-0.06660095372565736","-9.682907841831124","112536","124601","-9.682907841831124","-"
"110/06/19","104/1","1259","安心","觀光事業","341286","330222","348742","3.350473317949743","-2.1379701899971897","341286","348742","-2.1379701899971897","-"
"110/06/19","104/1","1264","德麥","食品工業","402791","381180","331067","5.669499973765675","21.664496914521834","402791","331067","21.664496914521834","-"
"110/06/19","104/1","1336","台翰","電子零組件業","186961","184163","161738","1.5193062667311024","15.59497458853207","186961","161738","15.59497458853207","-"
"110/06/19","104/1","1565","精華","生技醫療業","454478","451549","476728","0.6486560705482683","-4.667231628937255","454478","476728","-4.667231628937255","-"
"110/06/19","104/1","1569","濱川","電腦及週邊設備業","233834","252198","201484","-7.281580345601472","16.05586547815211","233834","201484","16.05586547815211","-"
"110/06/19","104/1","1570","力肯","電機機械","51389","48251","43806","6.503492155602992","17.310414098525317","51389","43806","17.310414098525317","-"
"110/06/19","104/1","1580","新麥","電機機械","384225","465186","251362","-17.40400613947969","52.85723379031039","384225","251362","52.85723379031039","-"
"110/06/19","104/1","1584","精剛","其他","92281","99503","99549","-7.2580726209260025","-7.300927181588966","92281","99549","-7.300927181588966","-"
"110/06/19","104/1","1586","和勤","電機機械","149124","160583","137030","-7.135873660350099","8.825804568342699","149124","137030","8.825804568342699","-"
"110/06/19","104/1","1591","駿吉-KY","電機機械","72372","62621","39809","15.5714536657032","81.79808585998141","72372","39809","81.79808585998141","-"
"110/06/19","104/1","1593","祺驊","生技醫療業","82342","81903","61526","0.5359999023234802","33.83285115235835","82342","61526","33.83285115235835","-"
"110/06/19","104/1","1595","川寶","電子零組件業","73845","72589","67943","1.7302897133174449","8.686693257583563","73845","67943","8.686693257583563","-"
"110/06/19","104/1","1599","宏佳騰","電機機械","152007","107377","201599","41.5638358307645","-24.599328369684372","152007","201599","-24.599328369684372","-"
"110/06/19","104/1","1742","台蠟","化學工業","44913","93513","127790","-51.97138365788714","-64.8540574379842","44913","127790","-64.8540574379842","主因中油公司於103年9月停止供應本公司粗蠟，本公司生產之油蠟亦停止銷售中油，故103年10月起銷售量大幅下降致營業收入減少。"
"110/06/19","104/1","1752","南光","生技醫療業","144647","111504","90668","29.723597359735972","59.53478625314334","144647","90668","59.53478625314334","-"
"110/06/19","104/1","1777","生泰","生技醫療業","51511","49082","52299","4.948861089605151","-1.5067209698082182","51511","52299","-1.5067209698082182","-"
"110/06/19","104/1","1781","合世","生技醫療業","55513","36860","66530","50.60499186109604","-16.559446866075454","55513","66530","-16.559446866075454","-"
"110/06/19","104/1","1784","訊聯","生技醫療業","47476","57408","48672","-17.30072463768116","-2.4572649572649574","47476","48672","-2.4572649572649574","-"
"110/06/19","104/1","1785","光洋科","其他電子業","7351922","7850352","1572004","-6.349142051209933","367.67832651825313","7351922","1572004","367.67832651825313","-"
"110/06/19","104/1","1788","杏昌","生技醫療業","196151","262395","236948","-25.24590788696431","-17.217701774228946","196151","236948","-17.217701774228946","-"
"110/06/19","104/1","1796","金穎生技","食品工業","29669","0","14947","","98.49468120693116","29669","14947","98.49468120693116","-"
"110/06/19","104/1","1799","易威","生技醫療業","55470","67317","10283","-17.59882347698204","439.4340173101235","55470","10283","439.4340173101235","-"
"110/06/19","104/1","1813","寶利徠","生技醫療業","38648","25542","34140","51.31156526505364","13.204452255418863","38648","34140","13.204452255418863","-"
"110/06/19","104/1","1815","富喬","電子零組件業","409962","421503","315127","-2.73805880385193","30.094215982762506","409962","315127","30.094215982762506","-"
"110/06/19","104/1","2035","唐榮公司","鋼鐵工業","1416366","1265042","1437782","11.96197438504018","-1.4895164913735184","1416366","1437782","-1.4895164913735184","-"
"110/06/19","104/1","2061","風青","電器電纜","106708","104489","118658","2.1236685201313055","-10.070960238669116","106708","118658","-10.070960238669116","-"
"110/06/19","104/1","2063","世鎧","鋼鐵工業","52082","63939","56814","-18.54423747634464","-8.328933009469496","52082","56814","-8.328933009469496","-"
"110/06/19","104/1","2064","晉椿","鋼鐵工業","225085","233463","206763","-3.5885772049532476","8.86135333691231","225085","206763","8.86135333691231","-"
"110/06/19","104/1","2065","世豐","鋼鐵工業","104646","100013","82624","4.6323977882875225","26.65327265685515","104646","82646","26.619558115335284","-"
"110/06/19","104/1","2066","世德","電機機械","102361","136955","98879","-25.25939177101968","3.521475743079926","102361","98879","3.521475743079926","-"
"110/06/19","104/1","2067","嘉鋼","電機機械","78152","91805","106675","-14.87173901203638","-26.738223576283104","78152","106675","-26.738223576283104","10401及10301自結數"
"110/06/19","104/1","2221","大甲","其他","60651","67738","42831","-10.462369718621748","41.60537928136163","60651","42831","41.60537928136163","-"
"110/06/19","104/1","2230","泰茂","電機機械","33643","33145","32183","1.5024890632071202","4.536556567131716","33643","32183","4.536556567131716","-"
"110/06/19","104/1","2235","謚源","電機機械","81132","71731","57635","13.105909578843178","40.768630172638154","81132","57635","40.768630172638154","-"
"110/06/19","104/1","2596","綠意","建材營造","124429","10177","56485","1122.6491107399038","120.28680180578915","124429","56485","120.28680180578915","-"
"110/06/19","104/1","2640","大車隊","其他","135272","157287","109317","-13.996706657257116","23.742876222362487","135272","109317","23.742876222362487","-"
"110/06/19","104/1","2641","正德","航運業","63446","73426","62516","-13.591915670198567","1.48761916949261","63446","62516","1.48761916949261","-"
"110/06/19","104/1","2643","捷迅","航運業","229278","232483","149385","-1.378595424181553","53.48127322020283","229278","149385","53.48127322020283","-"
"110/06/19","104/1","2718","晶悅","觀光事業","24464","26800","21796","-8.716417910447761","12.2407781244265","24464","21796","12.2407781244265","-"
"110/06/19","104/1","2719","燦星旅","觀光事業","214463","193188","225614","11.012588773629831","-4.942512432739103","214463","225614","-4.942512432739103","-"
"110/06/19","104/1","2724","富驛-KY","觀光事業","70446","95156","69499","-25.967884316280635","1.3626095339501287","70446","69499","1.3626095339501287","-"
"110/06/19","104/1","2726","雅茗-KY","觀光事業","147995","141036","160939","4.93420119685754","-8.042798824399307","147995","160939","-8.042798824399307","-"
"110/06/19","104/1","2729","瓦城","觀光事業","251392","243256","251121","3.3446245930213436","0.10791610418881735","251392","251121","0.10791610418881735","-"
"110/06/19","104/1","2732","六角","觀光事業","128634","154654","89856","-16.824653743194485","43.15571581196581","128634","89856","43.15571581196581","-"
"110/06/19","104/1","2734","易飛網","觀光事業","121350","115703","102494","4.880599465873832","18.39717446874939","121350","102494","18.39717446874939","-"
"110/06/19","104/1","2736","高野","觀光事業","74892","74098","59487","1.0715538880941455","25.89641434262948","74892","59487","25.89641434262948","-"
"110/06/19","104/1","2740","天蔥","觀光事業","66372","69357","75324","-4.303819369349886","-11.884658276246615","66372","75324","-11.884658276246615","-"
"110/06/19","104/1","2743","山富","觀光事業","306369","337660","211829","-9.26701415625185","44.63033862219054","306369","211829","44.63033862219054","-"
"110/06/19","104/1","2916","滿心","貿易百貨","127528","129567","151170","-1.573703180593824","-15.639346431170205","127528","151170","-15.639346431170205","-"
"110/06/19","104/1","2924","東凌-KY","貿易百貨","110985","132956","129178","-16.525015794698998","-14.083667497561505","110985","129178","-14.083667497561505","-"
"110/06/19","104/1","2926","誠品生活","文化創意業","304786","340793","304749","-10.565651289785881","0.012141139101358823","304786","304749","0.012141139101358823","-"
"110/06/19","104/1","3064","泰偉","文化創意業","6542","24751","14430","-73.56874469718396","-54.663894663894666","6542","14430","-54.663894663894666","-"
"110/06/19","104/1","3066","李洲","光電業","56548","59749","51044","-5.357411839528695","10.78285400830656","56548","51044","10.78285400830656","-"
"110/06/19","104/1","3067","全域","其他電子業","23056","49426","18403","-53.35248654554283","25.28392109982068","23056","18403","25.28392109982068","-"
