出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"114/05/18","114/4","1240","茂生農經","農業科技","211888","249994","232329","-15.242765826379832","-8.798298963969199","895544","947159","-5.4494546322212","-"
"114/05/18","114/4","1259","安心","觀光餐旅","479095","494052","482451","-3.0274141183519143","-0.6956146841855443","1948747","1975606","-1.3595322144192719","-"
"114/05/18","114/4","1264","德麥","食品工業","567719","554832","532647","2.3226850650286934","6.5844733941991604","2216558","2077160","6.710990005584548","-"
"114/05/18","114/4","1268","漢來美食","觀光餐旅","410440","487263","386388","-15.766228915390661","6.224830998892305","2145899","2065805","3.8771326432068856","-"
"114/05/18","114/4","1294","漢田生技","食品工業","72323","73692","75505","-1.8577321825978397","-4.214290444341434","247000","255387","-3.2840356008724014","-"
"114/05/18","114/4","1336","台翰","電子零組件業","223736","233570","195414","-4.210300980434131","14.493332105171584","846308","742773","13.938982704002434","-"
"114/05/18","114/4","1565","精華","生技醫療業","364384","376908","329975","-3.322826790622645","10.427759678763543","1475364","1429720","3.1925132193716252","-"
"114/05/18","114/4","1569","濱川","電腦及週邊設備業","299047","335086","277936","-10.75514942432689","7.595633527142939","1117552","898492","24.380851471131628","-"
"114/05/18","114/4","1570","力肯","電機機械","47301","37267","76857","26.924625003354173","-38.455833561028925","168373","173036","-2.6948149518019373","-"
"114/05/18","114/4","1580","新麥","電機機械","464524","414021","405354","12.198173522599095","14.59711758117596","1553563","1347916","15.256662878102196","-"
"114/05/18","114/4","1584","精剛","其他","231924","227919","272958","1.7572032169323313","-15.033082012617326","907927","865790","4.8668845794014715","-"
"114/05/18","114/4","1586","和勤","電機機械","216182","197556","216408","9.4282127599263","-0.10443236848915012","758471","867390","-12.557096577087584","-"
"114/05/18","114/4","1591","駿吉-KY","電機機械","7780","2158","22601","260.5189990732159","-65.57674439184107","21318","59968","-64.45104055496265","本期銷售數量較少所致"
"114/05/18","114/4","1593","祺驊","運動休閒","103120","95390","79828","8.103574798196876","29.177732124066743","379456","322742","17.572550210384765","-"
"114/05/18","114/4","1595","川寶","電子零組件業","75921","84144","91764","-9.772532800912721","-17.264940499542305","284573","298884","-4.788145233602334","-"
"114/05/18","114/4","1599","宏佳騰","電機機械","146488","197084","167259","-25.67230216557407","-12.418464776185436","642453","624789","2.827194460849983","-"
"114/05/18","114/4","1742","台蠟","化學工業","12200","14782","22830","-17.4671898254634","-46.56154183092422","53050","81440","-34.86001964636542","-"
"114/05/18","114/4","1777","生泰","生技醫療業","109530","84039","98309","30.332345696640846","11.414010924737308","425280","368091","15.536647187787802","-"
"114/05/18","114/4","1781","合世","生技醫療業","22898","39496","23207","-42.02450881101884","-1.3314948076011548","144986","225113","-35.59412384002701","-"
"114/05/18","114/4","1784","訊聯","生技醫療業","102632","110918","101114","-7.470383526569178","1.5012757877247462","393432","397555","-1.0370892077825709","-"
"114/05/18","114/4","1785","光洋科","其他電子業","3753435","3045411","2551168","23.248881678039517","47.12613987005168","11996277","8864204","35.333945383025934","-"
