出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"114/12/21","114/9","1240","茂生農經","農業科技","250266","230525","217975","8.563496366988396","14.81408418396605","2045284","2116194","-3.3508270035733965","-"
"114/12/21","114/9","1259","安心","觀光餐旅","505139","518800","502555","-2.6331919814957594","0.5141725781257773","4533477","4573498","-0.8750632448073663","-"
"114/12/21","114/9","1264","德麥","食品工業","626202","526051","596871","19.038268152707627","4.914127173208281","4950437","4888597","1.2649846162406106","-"
"114/12/21","114/9","1268","漢來美食","觀光餐旅","512299","494542","519891","3.59059493430285","-1.460306102625358","4617097","4426194","4.313028303775208","-"
"114/12/21","114/9","1294","漢田生技","食品工業","70043","68440","50102","2.342197545295149","39.800806355035725","564816","595387","-5.134643517577643","-"
"114/12/21","114/9","1295","生合","食品工業","71934","75481","75669","-4.699195824114678","-4.935971137453911","754223","742751","1.5445283816514552","-"
"114/12/21","114/9","1336","台翰","電子零組件業","209342","215400","210433","-2.8124419684308264","-0.5184548050923572","1887172","1862369","1.3317983707847372","-"
"114/12/21","114/9","1565","精華","生技醫療業","322964","345141","414850","-6.425489872255107","-22.149210558033023","3174384","3320177","-4.391121316724981","-"
"114/12/21","114/9","1569","濱川","電腦及週邊設備業","288245","279673","285532","3.0650080629878467","0.9501561996553801","2498411","2239579","11.557172129226073","-"
"114/12/21","114/9","1570","力肯","電機機械","29575","54046","54937","-45.27809643636902","-46.16560787811493","419689","577240","-27.29384658027857","-"
"114/12/21","114/9","1580","新麥","電機機械","466667","416408","412209","12.069652840483371","13.211259336889782","3648596","3414012","6.871211934814523","-"
"114/12/21","114/9","1584","精剛","其他","211096","199485","202144","5.820487755971627","4.428526199145164","1956173","2240026","-12.671861844460734","-"
"114/12/21","114/9","1586","和勤","電機機械","187133","186346","222481","0.4223326500166357","-15.888098309518565","1663449","1916893","-13.221603918424242","-"
"114/12/21","114/9","1591","駿吉-KY","電機機械","5158","5238","13793","-1.5273004963726613","-62.604219531646486","85121","162749","-47.697988927735345","本期銷售數量較少所致"
"114/12/21","114/9","1593","祺驊","運動休閒","104839","94577","83760","10.850418177781068","25.165950334288443","890848","796437","11.854170511917452","-"
"114/12/21","114/9","1595","川寶","電子零組件業","26054","64469","127794","-59.58677814143232","-79.61250136939137","504168","677161","-25.54680496957149","營收減少主要係因設備出貨減少所致。"
"114/12/21","114/9","1599","宏佳騰","電機機械","188941","147235","256296","28.326145277957007","-26.280160439491837","1457670","1807205","-19.341192615115606","-"
"114/12/21","114/9","1742","台蠟","化學工業","6031","5247","18003","14.94187154564513","-66.50002777314891","89750","185212","-51.54201671597953","本月營收及累計營收較去年同期減少，係因蠟品.水產.太陽能較去年同期減少"
"114/12/21","114/9","1777","生泰","生技醫療業","108760","114568","106413","-5.069478388380699","2.205557591647637","977296","943393","3.593730290557594","-"
"114/12/21","114/9","1781","合世","生技醫療業","23476","21874","76162","7.323763372039864","-69.17622961581891","280804","545354","-48.50977530191398","本月營收較去年同期減少主要係因出貨量減少所致。"
"114/12/21","114/9","1784","訊聯","生技醫療業","90349","95351","90963","-5.245881008064939","-0.6749997251629783","893153","891261","0.21228349495826698","-"
"114/12/21","114/9","1785","光洋科","其他電子業","3387123","3454857","2847120","-1.9605442424968675","18.966639973025373","28202243","21532645","30.974355449597578","-"
"114/12/21","114/9","1788","杏昌","生技醫療業","360951","351739","338157","2.6189873741609544","6.740655967494389","3186260","3070875","3.757398135710506","-"
"114/12/21","114/9","1796","金穎生技","食品工業","55012","64348","51685","-14.508609436190714","6.437070716842411","499886","366170","36.51746456563891","-"
"114/12/21","114/9","1799","易威","生技醫療業","76649","59075","67031","29.748624629707997","14.348584983067536","435223","386770","12.52760038265636","-"
"114/12/21","114/9","1813","寶利徠","生技醫療業","24023","22584","25591","6.371767623095997","-6.127154077605408","234262","237310","-1.284395937802874","-"
"114/12/21","114/9","1815","富喬","電子零組件業","515284","509132","399460","1.208331041851622","28.995143443648924","4337661","2959818","46.551612295080304","-"
"114/12/21","114/9","2035","唐榮公司","鋼鐵工業","763703","923686","910703","-17.320063311558258","-16.141376497057767","7566506","8898683","-14.970496195897752","-"
"114/12/21","114/9","2061","風青","電器電纜","106670","83854","90912","27.209196937534287","17.333245336149243","879808","846792","3.8989503915955748","-"
"114/12/21","114/9","2063","世鎧精密","鋼鐵工業","94585","72923","79614","29.70530559631392","18.804481623835002","759991","847318","-10.306284063362279","-"
"114/12/21","114/9","2064","晉椿","鋼鐵工業","137906","140649","136189","-1.9502449359753713","1.2607479311838694","1145059","1215532","-5.797708328534338","-"
"114/12/21","114/9","2065","世豐","鋼鐵工業","156053","159291","182559","-2.0327576573692174","-14.519141756911464","1545747","1781037","-13.21084289658216","-"
"114/12/21","114/9","2066","世德","電機機械","206828","199871","245607","3.480745080576972","-15.789045100506094","1961153","2131305","-7.983465529335313","-"
"114/12/21","114/9","2067","嘉鋼","電機機械","82935","80827","79633","2.608039392777166","4.146522170456971","765179","737272","3.785170194989095","-"
"114/12/21","114/9","2070","精湛","電機機械","60606","63963","66258","-5.24834670043619","-8.530290681879924","481779","540291","-10.829719540025653","-"
"114/12/21","114/9","2073","雄順","鋼鐵工業","42698","43822","41421","-2.564921728812012","3.08297723377031","419709","436670","-3.884168823138755","-"
"114/12/21","114/9","2221","大甲","其他","129760","109607","134123","18.386599396023975","-3.2529842010691676","1017243","1009525","0.7645179663703227","-"
"114/12/21","114/9","2230","泰茂","電機機械","175590","247693","179535","-29.109825469431918","-2.1973431364357925","1295070","1027300","26.06541419254356","-"
"114/12/21","114/9","2235","謚源","電機機械","42279","50153","61115","-15.699958128127928","-30.82058414464534","421130","434007","-2.9670028363597822","-"
"114/12/21","114/9","2596","綠意","建材營造","19545","32149","25493","-39.20495194251765","-23.331895030008237","906001","285512","217.32501611140688","本公司「綠意順光天下」建案完工交屋,故本年累計營業收入淨額較去年同期增加。"
"114/12/21","114/9","2640","大車隊","數位雲端","266529","250491","251749","6.402625244020744","5.8709269947447655","2310589","2222257","3.974877793162537","-"
"114/12/21","114/9","2641","正德","航運業","201008","330321","136236","-39.14767756212896","47.5439678205467","1770324","1209861","46.32457778207579","-"
"114/12/21","114/9","2643","捷迅","航運業","702305","741877","459469","-5.334037852635949","52.85144373178604","6138899","3596092","70.7102877234509","貨量較去年增加"
"114/12/21","114/9","2718","全心投控","建材營造","235087","395408","165720","-40.545714805972565","41.85795317402848","2923095","4129954","-29.222093030576126","-"
"114/12/21","114/9","2719","燦星旅","觀光餐旅","122640","155073","140230","-20.91466599601478","-12.543678242886687","1540895","1802291","-14.503540216313569","-"
"114/12/21","114/9","2724","藝舍-KY","其他","10950","7248","81769","51.07615894039735","-86.60861695752669","115277","464976","-75.20796772306528","營收減少係因房市景氣低迷，成交量下降所致。"
"114/12/21","114/9","2726","雅茗-KY","觀光餐旅","48778","44694","48685","9.13769186020495","0.19102392934168635","445247","403579","10.324620458448036","-"
"114/12/21","114/9","2729","瓦城","觀光餐旅","456469","597481","499715","-23.601085222793696","-8.654132855727765","4616810","4647170","-0.6533008260941605","-"
"114/12/21","114/9","2732","六角","觀光餐旅","368657","415321","336872","-11.235646644402763","9.435334489064095","3131333","3064032","2.196484893108166","-"
"114/12/21","114/9","2734","易飛網","觀光餐旅","120480","154552","117281","-22.045654536984316","2.7276370426582313","1229329","1530809","-19.69416171449214","-"
"114/12/21","114/9","2736","富野","觀光餐旅","31263","35489","28190","-11.907915128631407","10.901028733593472","366761","242798","51.05602187826918","因子公司儷野自113年9月下旬開業,故累積營收高於去年同期"
"114/12/21","114/9","2740","天蔥","觀光餐旅","11267","9785","22846","15.145631067961165","-50.682832881029505","107487","181448","-40.76154049645077","差異原因為門店數及商品銷售額均較去年同期減少"
"114/12/21","114/9","2743","山富","觀光餐旅","518087","489210","496313","5.90278203634431","4.387150850370633","4987269","5226538","-4.577963462620954","-"
"114/12/21","114/9","2745","五福","觀光餐旅","704296","711076","612891","-0.9534845783010536","14.91374485838428","6567050","5746268","14.283740333726168","-"
"114/12/21","114/9","2751","王座","觀光餐旅","156418","193932","109028","-19.343893735948683","43.465898668232015","1281040","1027390","24.68877446733957","-"
"114/12/21","114/9","2752","豆府","觀光餐旅","324550","371903","311771","-12.732621140458669","4.098841778099952","3004576","2678330","12.180948576165","-"
"114/12/21","114/9","2754","亞洲藏壽司","觀光餐旅","490802","540930","477174","-9.267003124248978","2.8559812563132105","4323063","4106885","5.263794822596688","-"
"114/12/21","114/9","2755","揚秦","觀光餐旅","259814","269071","217091","-3.440355891196004","19.67976562823885","2221194","1852425","19.90736467063444","-"
"114/12/21","114/9","2756","聯發國際","觀光餐旅","108859","119153","63534","-8.63931248059218","71.33975509176189","840128","505041","66.34847467829344","因新品牌業務拓展成效良好，使直營與加盟營收成長。"
"114/12/21","114/9","2916","滿心","居家生活","112201","125489","116104","-10.588975926176797","-3.361641287121891","1344401","1303312","3.1526602992990167","-"
