出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"110/06/19","105/2","1258","其祥-KY","食品工業","195881","210161","109523","-6.7947906604936215","78.84919149402408","406130","222192","82.783358536761","毛雞及雛雞銷售增加"
"110/06/19","105/2","1259","安心","觀光事業","381000","370840","359707","2.73972602739726","5.919540070112619","751840","700993","7.25356743933249","-"
"110/06/19","105/2","1264","德麥","食品工業","209982","424951","231041","-50.58677353388979","-9.114832432338849","634933","633833","0.17354729084790474","-"
"110/06/19","105/2","1268","漢來美食","觀光事業","304498","317424","285299","-4.07215585462977","6.72943122829032","621651","537593","15.635992284125724","-"
"110/06/19","105/2","1336","台翰","電子零組件業","123931","188008","95604","-34.08206033785796","29.629513409480776","311939","282566","10.395093535669544","-"
"110/06/19","105/2","1565","精華","生技醫療業","441428","539637","450750","-18.199085681671196","-2.0681087077093734","981065","905228","8.377668388516485","-"
"110/06/19","105/2","1569","濱川","電腦及週邊設備業","111786","187254","140433","-40.30247684962671","-20.399051504988144","299040","374267","-20.099821784982378","-"
"110/06/19","105/2","1570","力肯","電機機械","63480","65790","62972","-3.511171910624715","0.8067077431239281","129270","114361","13.036787016552847","-"
"110/06/19","105/2","1580","新麥","電機機械","165557","338688","140713","-51.11813822751323","17.65579583975894","504936","523069","-3.4666554508105047","-"
"110/06/19","105/2","1584","精剛","其他","46653","60938","84448","-23.441858938593324","-44.75535240621448","107591","176729","-39.12091394168473","-"
"110/06/19","105/2","1586","和勤","電機機械","102565","186846","127776","-45.10720058229772","-19.730622339093415","289411","276900","4.518237630913688","-"
"110/06/19","105/2","1591","駿吉-KY","電機機械","38824","37784","62292","2.752487825534618","-37.674179669941566","76608","134664","-43.111744787025486","-"
"110/06/19","105/2","1593","祺驊","生技醫療業","37018","74014","41001","-49.985137946874914","-9.714397209824151","111032","123343","-9.981109588707913","-"
"110/06/19","105/2","1595","川寶","電子零組件業","54938","56420","102813","-2.6267281105990783","-46.56512308754729","111358","176658","-36.96407748304634","-"
"110/06/19","105/2","1599","宏佳騰","電機機械","154273","205661","79335","-24.986750040114558","94.45767946051554","359934","231342","55.58523744067225","本期及本年累計與去年同期及去年累計增加主要係主要客戶營收增加及新增客戶YAMAHA營收增加"
"110/06/19","105/2","1742","台蠟","化學工業","20568","51551","36183","-60.101646912766","-43.15562557001907","72119","81096","-11.06959652757226","-"
"110/06/19","105/2","1752","南光","生技醫療業","121982","125256","101173","-2.613846841668263","20.567740405048777","247238","245820","0.5768448458221462","-"
"110/06/19","105/2","1777","生泰","生技醫療業","70035","69166","51795","1.2563976520255618","35.215754416449464","139201","103306","34.74628772772153","-"
"110/06/19","105/2","1781","合世","生技醫療業","20025","39169","53426","-48.87538614720825","-62.51824954142178","59194","108940","-45.663668074169266","本月營收較去年同期減少主要係因適逢農曆年假期所致。"
"110/06/19","105/2","1784","訊聯","生技醫療業","46043","51272","42522","-10.198548915587455","8.280419547528338","97315","89998","8.13018067068157","-"
"110/06/19","105/2","1785","光洋科","其他電子業","1826728","2767569","4559165","-33.99521385013345","-59.93283857899418","4594297","11911087","-61.42839860039642","主要係LBMA黃金鑄錠出貨減少"
"110/06/19","105/2","1788","杏昌","生技醫療業","199251","229798","208811","-13.292979051166677","-4.578302867186116","429049","404962","5.947965488119873","-"
"110/06/19","105/2","1796","金穎生技","食品工業","25462","42263","15968","-39.75344864302108","59.456412825651306","67725","45637","48.39932510901242","-"
"110/06/19","105/2","1799","易威","生技醫療業","3818","16286","21300","-76.55655163944492","-82.07511737089202","20104","76770","-73.81268724762278","本月有國外客戶銷退"
