出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產合計,流動負債,非流動負債,負債合計,股本,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,權益合計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
"110/05/29","105","4","5864","致和證","2864628.00","1512425.00","4377053.00","1258921.00","36274.00","1295195.00","2122835.00","123904.00","922738.00","-87619.00","--","--","--","--","3081858.00","0.00","0.00","0.00","14.52"
"110/05/29","105","4","6015","宏遠證","8825978.00","779690.00","9605668.00","5212385.00","11365.00","5223750.00","3870008.00","187595.00","260700.00","63615.00","0.00","4381918.00","--","--","4381918.00","0.00","0.00","0.00","11.32"
"110/05/29","105","4","6016","康和證","25574343.00","3057256.00","28631599.00","21413406.00","333092.00","21746498.00","6333368.00","192524.00","674732.00","-68485.00","-289762.00","6842377.00","--","--","6885101.00","0.00","0.00","38000000.00","11.49"
"110/05/29","105","4","6020","大展證","3686811.00","693307.00","4380118.00","701030.00","9680.00","710710.00","2523532.00","461.00","1144940.00","0.00","--","3668933.00","--","--","3669408.00","0.00","0.00","0.00","14.54"
"110/05/29","105","4","6021","大慶證","5648984.00","1427307.00","7076291.00","2688766.00","56706.00","2745472.00","3067559.00","12157.00","1313102.00","-61999.00","--","4330819.00","--","--","4330819.00","0.00","0.00","0.00","14.12"
"110/05/29","105","4","6023","元大期貨","60115219.00","2056624.00","62171843.00","54916977.00","70970.00","54987947.00","2322763.00","940976.00","2991707.00","928450.00","--","7183896.00","0.00","--","7183896.00","0.00","0.00","0.00","30.93"
"110/05/29","105","4","6026","福邦證","3481408.00","589854.00","4071262.00","954232.00","235.00","954467.00","2417000.00","9348.00","325370.00","-66.00","0.00","2751652.00","0.00","--","3116795.00","0.00","0.00","0.00","11.38"
