出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"110/05/29","105","4","8080","永利聯合","430100.00","314971.00","745071.00","187751.00","0.00","187751.00","639916.00","25160.00","-125255.00","8792.00","-8.00","548605.00","--","--","8715.00","557320.00","--","0.00","1000.00","8.57"
"110/05/29","105","4","8083","瑞穎","666119.00","784597.00","1450716.00","283924.00","7714.00","291638.00","351332.00","215705.00","592041.00","0.00","--","--","--","--","--","1159078.00","0.00","0.00","0.00","32.99"
"110/05/29","105","4","8084","巨虹","772923.00","243814.00","1016737.00","151436.00","275105.00","426541.00","539365.00","76533.00","-43933.00","2484.00","--","574449.00","--","--","15747.00","590196.00","0.00","0.00","0.00","10.65"
"110/05/29","105","4","8085","福華","1985920.00","1575963.00","3561883.00","1281032.00","984466.00","2265498.00","1572572.00","48716.00","-564814.00","239911.00","--","1296385.00","--","--","0.00","1296385.00","0.00","0.00","0.00","8.24"
"110/05/29","105","4","8086","宏捷科","1881023.00","1308059.00","3189082.00","344659.00","17692.00","362351.00","1430517.00","579890.00","974725.00","--","-158401.00","--","--","--","--","2826731.00","0.00","38000.00","3200000.00","20.22"
"110/05/29","105","4","8087","華鎂鑫","165940.00","246161.00","412101.00","45307.00","63729.00","109036.00","298690.00","7095.00","2000.00","-4720.00","--","303065.00","--","--","0.00","303065.00","0.00","0.00","0.00","10.15"
"110/05/29","105","4","8088","品安","627077.00","528424.00","1155501.00","242199.00","41833.00","284032.00","578595.00","176769.00","118291.00","-2186.00","--","--","--","--","--","871469.00","0.00","0.00","0.00","15.06"
"110/05/29","105","4","8089","康全電訊","952503.00","119117.00","1071620.00","526054.00","840.00","526894.00","401683.00","52384.00","68379.00","22280.00","--","544726.00","--","--","0.00","544726.00","--","0.00","0.00","13.56"
"110/05/29","105","4","8091","翔名","2010112.00","1123247.00","3133359.00","720231.00","226.00","720457.00","606802.00","1105744.00","695487.00","-2559.00","0.00","2405474.00","--","--","7428.00","2412902.00","--","0.00","0.00","39.64"
"110/05/29","105","4","8092","建暐","466918.00","382996.00","849914.00","299320.00","160022.00","459342.00","388506.00","62995.00","-56545.00","-127.00","-4257.00","390572.00","--","--","--","390572.00","0.00","0.00","468000.00","10.18"
