出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"110/05/29","103","4","1258","其祥-KY","592835.00","320746.00","913581.00","141930.00","104891.00","246821.00","340000.00","113106.00","228817.00","-15163.00","0.00","666760.00","0.00","--","--","666760.00","0.00","0.00","0.00","19.61"
"110/05/29","103","4","1259","安心","1851128.00","589053.00","2440181.00","795639.00","28061.00","823700.00","323895.00","809816.00","424599.00","-6671.00","--","1551639.00","--","--","64842.00","1616481.00","0.00","0.00","0.00","47.91"
"110/05/29","103","4","1264","德麥","1688010.00","670678.00","2358688.00","642652.00","45827.00","688479.00","280137.00","263393.00","841820.00","8840.00","--","1394190.00","--","--","276019.00","1670209.00","0.00","0.00","0.00","49.77"
"110/05/29","103","4","1336","台翰","974322.00","1764083.00","2738405.00","739685.00","439966.00","1179651.00","627532.00","819780.00","55144.00","56298.00","0.00","1558754.00","--","--","--","1558754.00","0.00","0.00","0.00","24.84"
"110/05/29","103","4","1565","精華","3539411.00","2873194.00","6412605.00","1386605.00","689461.00","2076066.00","504165.00","526000.00","3307292.00","-918.00","--","4336539.00","--","--","--","4336539.00","0.00","0.00","0.00","86.01"
"110/05/29","103","4","1569","濱川","2697803.00","2550898.00","5248701.00","1980763.00","1118946.00","3099709.00","837847.00","619033.00","525256.00","166856.00","--","2148992.00","--","--","--","2148992.00","0.00","0.00","0.00","25.65"
"110/05/29","103","4","1570","力肯","374647.00","273656.00","648303.00","111473.00","12276.00","123749.00","515008.00","--","8734.00","812.00","--","524554.00","--","--","0.00","524554.00","0.00","0.00","0.00","10.19"
"110/05/29","103","4","1580","新麥","2557362.00","771228.00","3328590.00","1365920.00","153603.00","1519523.00","475800.00","74811.00","1135945.00","67637.00","--","1754193.00","--","--","54874.00","1809067.00","0.00","0.00","0.00","36.87"
"110/05/29","103","4","1584","精剛","816409.00","2410150.00","3226559.00","777298.00","1041708.00","1819006.00","1034705.00","634816.00","-226438.00","-18154.00","-17376.00","--","--","--","--","1407553.00","0.00","0.00","1000000.00","13.74"
"110/05/29","103","4","1586","和勤","1428049.00","968007.00","2396056.00","1190935.00","130363.00","1321298.00","466433.00","223269.00","355169.00","53652.00","-23765.00","1074758.00","--","--","0.00","1074758.00","0.00","0.00","1408000.00","23.76"
"110/05/29","103","4","1591","駿吉-KY","285163.00","479787.00","764950.00","257449.00","130878.00","388327.00","269195.00","22159.00","105316.00","-20047.00","--","376623.00","--","--","0.00","376623.00","0.00","0.00","0.00","13.99"
"110/05/29","103","4","1593","祺驊","600394.00","337721.00","938115.00","216237.00","14883.00","231120.00","276406.00","208780.00","180503.00","18925.00","0.00","684614.00","--","--","22381.00","706995.00","0.00","0.00","0.00","24.77"
"110/05/29","103","4","1595","川寶","1596780.00","781942.00","2378722.00","458777.00","83080.00","541857.00","386875.00","242700.00","1196975.00","10315.00","--","1836865.00","--","--","--","1836865.00","0.00","0.00","0.00","47.48"
"110/05/29","103","4","1599","宏佳騰","1332662.00","380544.00","1713206.00","544782.00","24415.00","569197.00","449805.00","487161.00","207833.00","-790.00","--","1144009.00","--","--","--","1144009.00","0.00","0.00","0.00","25.43"
"110/05/29","103","4","1742","台蠟","554298.00","533145.00","1087443.00","277747.00","57304.00","335051.00","646906.00","0.00","104639.00","847.00","--","752392.00","--","--","0.00","752392.00","0.00","0.00","0.00","11.63"
"110/05/29","103","4","1752","南光","935935.00","1819658.00","2755593.00","454410.00","859785.00","1314195.00","891641.00","399389.00","174217.00","--","-23849.00","--","--","--","--","1441398.00","0.00","0.00","764000.00","16.31"
"110/05/29","103","4","1777","生泰","752103.00","351663.00","1103766.00","116371.00","76035.00","192406.00","300595.00","314322.00","299456.00","-3013.00","--","--","--","--","--","911360.00","0.00","0.00","0.00","30.32"
"110/05/29","103","4","1781","合世","588651.00","249196.00","837847.00","216364.00","2480.00","218844.00","474076.00","151307.00","-24509.00","18129.00","--","619003.00","--","--","--","619003.00","0.00","0.00","0.00","13.06"
"110/05/29","103","4","1784","訊聯","532601.00","1407376.00","1939977.00","147841.00","359372.00","507213.00","499099.00","628015.00","56200.00","-5356.00","-8514.00","1169444.00","--","--","263320.00","1432764.00","0.00","0.00","221000.00","23.54"
"110/05/29","103","4","1785","光洋科","11378429.00","9818542.00","21196971.00","8447681.00","6451861.00","14899542.00","4085643.00","3048106.00","-1153259.00","166201.00","-97417.00","6049274.00","--","--","248155.00","6297429.00","0.00","0.00","3032000.00","14.92"
"110/05/29","103","4","1788","杏昌","1781036.00","620819.00","2401855.00","867021.00","11662.00","878683.00","350000.00","661626.00","484699.00","908.00","--","1497233.00","--","--","25939.00","1523172.00","0.00","0.00","0.00","42.78"
"110/05/29","103","4","1799","易威","344714.00","349199.00","693913.00","72754.00","3219.00","75973.00","514114.00","329119.00","-275677.00","-6008.00","--","561548.00","--","--","56392.00","617940.00","0.00","0.00","0.00","10.92"
"110/05/29","103","4","1813","寶利徠","402566.00","666619.00","1069185.00","65731.00","30826.00","96557.00","466355.00","262855.00","252534.00","-9116.00","--","972628.00","--","--","0.00","972628.00","0.00","0.00","0.00","20.86"
"110/05/29","103","4","1815","富喬","2351984.00","9806632.00","12158616.00","1479704.00","4286171.00","5765875.00","4062484.00","1710722.00","688875.00","6437.00","-75777.00","6392741.00","--","--","--","6392741.00","0.00","0.00","6760000.00","16.00"
"110/05/29","103","4","2035","唐榮公司","10431887.00","14835545.00","25267432.00","8779904.00","9279546.00","18059450.00","3500000.00","0.00","2878008.00","68804.00","--","6446812.00","--","--","761170.00","7207982.00","0.00","0.00","0.00","18.42"
"110/05/29","103","4","2061","風青","952746.00","221391.00","1174137.00","458397.00","4962.00","463359.00","621481.00","124781.00","-34161.00","--","-1323.00","710778.00","--","--","0.00","710778.00","0.00","0.00","73000.00","11.45"
"110/05/29","103","4","2063","世鎧","522241.00","584136.00","1106377.00","327061.00","166067.00","493128.00","432689.00","28778.00","150708.00","1074.00","--","613249.00","--","--","--","613249.00","0.00","0.00","0.00","14.17"
"110/05/29","103","4","2064","晉椿","1779712.00","1080534.00","2860246.00","1010755.00","366408.00","1377163.00","700000.00","93653.00","689430.00","0.00","--","--","--","--","--","1483083.00","0.00","0.00","0.00","21.19"
"110/05/29","103","4","2065","世豐","503234.00","610863.00","1114097.00","200579.00","147882.00","348461.00","300000.00","161000.00","307127.00","24160.00","-26651.00","--","--","--","--","765636.00","0.00","0.00","806780.00","26.23"
"110/05/29","103","4","2066","世德","1019919.00","246510.00","1266429.00","253373.00","9417.00","262790.00","360402.00","252487.00","390750.00","--","--","--","--","--","--","1003639.00","0.00","0.00","0.00","27.85"
"110/05/29","103","4","2067","嘉鋼","634024.00","584897.00","1218921.00","466517.00","229775.00","696292.00","284328.00","95200.00","82769.00","28952.00","--","491249.00","--","--","31380.00","522629.00","0.00","0.00","0.00","17.28"
"110/05/29","103","4","2221","大甲","633725.00","478678.00","1112403.00","215392.00","324953.00","540345.00","424250.00","51156.00","93935.00","-6333.00","0.00","563008.00","0.00","--","9050.00","572058.00","0.00","0.00","0.00","13.27"
"110/05/29","103","4","2230","泰茂","447585.00","328126.00","775711.00","137294.00","85441.00","222735.00","396173.00","59878.00","83243.00","13682.00","--","552976.00","--","--","--","552976.00","0.00","0.00","0.00","13.96"
