出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產合計,流動負債,非流動負債,負債合計,股本,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,權益合計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
"110/05/29","103","4","5864","致和證","2079290.00","1638762.00","3718052.00","851621.00","26252.00","877873.00","2122835.00","123904.00","712380.00","-118940.00","--","--","--","--","2840179.00","0.00","0.00","0.00","13.38"
"110/05/29","103","4","6015","宏遠證","12834328.00","759174.00","13593502.00","8551423.00","29262.00","8580685.00","4268388.00","36988.00","802660.00","-95219.00","0.00","5012817.00","--","--","5012817.00","0.00","0.00","0.00","11.74"
"110/05/29","103","4","6016","康和證","35364919.00","3253788.00","38618707.00","30702903.00","209394.00","30912297.00","6883368.00","17761.00","916810.00","16811.00","-170856.00","7663894.00","--","--","7706410.00","0.00","0.00","20000000.00","11.47"
"110/05/29","103","4","6020","大展證","4026776.00","733957.00","4760733.00","959678.00","30972.00","990650.00","2523532.00","461.00","1224807.00","0.00","--","3748800.00","--","--","3770083.00","0.00","0.00","0.00","14.86"
"110/05/29","103","4","6021","大慶證","8323360.00","1185627.00","9508987.00","5013190.00","54831.00","5068021.00","3067559.00","12157.00","1425820.00","-64570.00","--","--","--","--","4440966.00","0.00","0.00","0.00","14.48"
"110/05/29","103","4","6023","元大期貨","36003882.00","1722107.00","37725989.00","30234715.00","38841.00","30273556.00","2322763.00","1940976.00","2551359.00","637335.00","--","7452433.00","0.00","--","7452433.00","0.00","0.00","0.00","32.08"
"110/05/29","103","4","6026","福邦證","5719242.00","416449.00","6135691.00","3573110.00","--","3573110.00","2300000.00","6057.00","256524.00","0.00","0.00","2562581.00","0.00","--","2562581.00","0.00","0.00","0.00","11.14"
