"","KSC","KBC","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计","Date","PL1_N","PH1_N","RSV","K","D","MA60","Long","Cash","YEAR"
"29",70,35,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,5,318.86,"2016"
"30",70,40,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,6,302.97,"2016"
"31",70,45,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,6,312.18,"2016"
"32",70,50,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,7,291.81,"2016"
"33",70,55,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,7,297.43,"2016"
"34",75,5,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,0,400,"2016"
"35",75,10,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,0,405.43,"2016"
"36",75,15,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,2,371.48,"2016"
"37",75,20,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,3,354.55,"2016"
"38",75,25,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,4,339.47,"2016"
"39",75,30,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,5,322.49,"2016"
"40",75,35,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,5,325.4,"2016"
"41",75,40,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,7,287.24,"2016"
"42",75,45,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,8,271.86,"2016"
"43",75,50,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,9,253.85,"2016"
"44",75,55,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,9,259.59,"2016"
"45",80,5,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,0,400,"2016"
"46",80,10,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,0,406.42,"2016"
"47",80,15,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,2,372.81,"2016"
"48",80,20,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,3,355.76,"2016"
"49",80,25,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,4,343.7,"2016"
"50",80,30,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,5,329.1,"2016"
"51",80,35,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,5,334.35,"2016"
"52",80,40,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,8,274.95,"2016"
"53",80,45,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,13,160.81,"2016"
"54",80,50,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,15,118.29,"2016"
"55",80,55,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,16,99.88,"2016"
"56",85,5,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,0,400,"2016"
"57",85,10,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,0,406.95,"2016"
"58",85,15,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,2,375.18,"2016"
"59",85,20,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,4,335.94,"2016"
"60",85,25,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,7,276.35,"2016"
"61",85,30,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,11,187.09,"2016"
"62",85,35,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,11,193.68,"2016"
"63",85,40,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,15,110.8,"2016"
"64",85,45,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,19,22.3600000000001,"2016"
"65",85,50,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,20,12.9900000000002,"2016"
"66",85,55,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,20,22.9800000000003,"2016"
"67",90,5,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,0,400,"2016"
"68",90,10,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,0,408.28,"2016"
"69",90,15,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,2,390.75,"2016"
"70",90,20,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,5,332.3,"2016"
"71",90,25,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,10,239.7,"2016"
"72",90,30,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,17,86.6100000000002,"2016"
"73",90,35,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,19,44.6300000000002,"2016"
"74",90,40,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,21,21.6200000000002,"2016"
"75",90,45,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,21,19.57,"2016"
"76",90,50,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,21,17.8800000000001,"2016"
"77",90,55,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,22,1.94000000000001,"2016"
"78",95,5,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,0,400,"2016"
"79",95,10,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,1,398.76,"2016"
"80",95,15,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,12,199.22,"2016"
"81",95,20,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,18,77.93,"2016"
"82",95,25,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,22,14.54,"2016"
"83",95,30,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,22,22.1900000000001,"2016"
