"","公司代號","year","股東配發s盈餘分配之現金股利元股"
"306","2382",101,4
"307","2383",101,1.8
"308","2385",101,4.1
"309","2387",101,0.15
"310","2388",101,NA
"311","2390",101,0
"312","2392",101,2.5
"313","2393",101,1.2
"314","2395",101,4.9
"315","2397",101,1.5
"316","2399",101,0.5
"317","2401",101,0
"318","2402",101,0
"319","2404",101,1.8
"320","2405",101,0.239
"321","2406",101,0
"322","2408",101,0
"323","2409",101,0
"324","2412",101,4.6295
"325","2413",101,0
"326","2414",101,1.15
"327","2415",101,0.65
"328","2417",101,0.4
"329","2419",101,1.214
"330","2420",101,2
"331","2421",101,0.6
"332","2423",101,0.5
"333","2424",101,0
"334","2425",101,0.5
"335","2426",101,0
"336","2427",101,0
"337","2428",101,1.9
"338","2429",101,0
"339","2430",101,2
"340","2431",101,0
"341","2433",101,2.5
"342","2434",101,0
"343","2436",101,0
"344","2438",101,0
"345","2439",101,2
"346","2440",101,0
"347","2441",101,0
"348","2442",101,0.05
"349","2443",101,0
"350","2444",101,0
"351","2448",101,0
"352","2449",101,1.1
"353","2450",101,4
"354","2451",101,6
"355","2453",101,0.5
"356","2454",101,0.5
"357","2455",101,0.8
"358","2456",101,0.2
"359","2457",101,1
"360","2458",101,2.45
"361","2459",101,2
"362","2460",101,0.23
"363","2461",101,0.45
"364","2462",101,2.5
"365","2464",101,1
"366","2465",101,0
"367","2466",101,0
"368","2467",101,1.2
"369","2468",101,0.1
"370","2471",101,1.5
"371","2472",101,0.75
"372","2474",101,6
"373","2475",101,0
"374","2476",101,1
"375","2477",101,0.6
"376","2478",101,0.15
"377","2480",101,2
"378","2481",101,0
"379","2482",101,0
"380","2483",101,0.3
"381","2484",101,0
"382","2485",101,1.3
"383","2486",101,0.5
"384","2488",101,0.6
"385","2489",101,1.95
"386","2491",101,0
"387","2492",101,0
"388","2493",101,2.3
"389","2495",101,0.35
"390","2496",101,0
"391","2497",101,0.6
"392","2498",101,2
"393","2499",101,0
"394","2501",101,1
"395","2504",101,0.2
"396","2505",101,0.3
"397","2506",101,0.1
"398","2509",101,1
"399","2511",101,0.5
"400","2514",101,0.2
"401","2515",101,0.135
"402","2516",101,0.3
"403","2520",101,1
"404","2524",101,0
"405","2527",101,0.65
"406","2528",101,0
"407","2530",101,0.15
"408","2534",101,1
"409","2535",101,2.1
"410","2536",101,1.7
"411","2537",101,0
"412","2538",101,1.5
"413","2539",101,0
"414","2540",101,0
"415","2542",101,3
"416","2543",101,0
"417","2545",101,7.5
"418","2546",101,1
"419","2547",101,0.8
"420","2548",101,4.5
"421","2597",101,1.9
"422","2601",101,0.25
"423","2603",101,0
"424","2605",101,1.25
"425","2606",101,2.5
"426","2607",101,0.3
"427","2608",101,1.1
"428","2609",101,0
"429","2610",101,0
"430","2611",101,0.5
"431","2612",101,1
"432","2613",101,0
"433","2614",101,0
"434","2615",101,0.26585673
"435","2616",101,1.5
"436","2617",101,0.8
"437","2618",101,0
"438","2630",101,0.9
"439","2633",101,0
"440","2634",101,0
"441","2636",101,0.4
"442","2637",101,1.75
"443","2642",101,0.6
"444","2701",101,0.13
"445","2702",101,0.2
"446","2704",101,0.4
"447","2705",101,0
"448","2706",101,0.15
"449","2707",101,8.79
"450","2712",101,0.4
"451","2722",101,0.7
"452","2723",101,5
"453","2727",101,13.67156639
"454","2731",101,1.8
"455","2801",101,0.1
"456","2809",101,1.5
"457","2812",101,0.1
"458","2816",101,0
"459","2820",101,0.8
"460","2823",101,0.2
"461","2832",101,1.1
"462","2834",101,0
"463","2836",101,0.02
"464","2838",101,0
"465","2838A",101,0.6
"466","2841",101,0
"467","2845",101,0.23
"468","2849",101,0.6
"469","2850",101,1.2
"470","2851",101,0.5
"471","2852",101,1.5
"472","2855",101,0.52
"473","2856",101,0.33
"474","2867",101,0
"475","2880",101,0.5
"476","2881",101,1
"477","2882",101,0.7
"478","2883",101,0.18
"479","2884",101,0.3
"480","2885",101,0.55
"481","2886",101,1.1
"482","2887",101,0.22272895
"483","2887C",101,0.83389827
"484","2888",101,0.03
"485","2889",101,0.18
"486","2890",101,0.33488148
"487","2891",101,0.71
"488","2891B",101,1.38852459
"489","2892",101,0.45
"490","2897",101,0.2
"491","2901",101,0.429947
"492","2903",101,0.8
"493","2904",101,2.6
"494","2905",101,1
"495","2906",101,0.53
"496","2908",101,1.08
"497","2910",101,1
"498","2911",101,0.7
"499","2912",101,4.85
"500","2913",101,0
"501","2915",101,3
"502","2923",101,0.12047894
"503","3002",101,0.4
"504","3003",101,0.7
"505","3004",101,1
"506","3005",101,0.5
"507","3006",101,0
"508","3008",101,17
"509","3010",101,2.5
"510","3011",101,0.03463082
"511","3013",101,0
"512","3014",101,0.5
"513","3015",101,2
"514","3016",101,0
"515","3017",101,0.2
"516","3018",101,0.4
"517","3019",101,0
"518","3021",101,0
"519","3022",101,1.5
"520","3023",101,1.7
"521","3024",101,0
"522","3025",101,0.6
"523","3026",101,1.5
"524","3027",101,0.15
"525","3028",101,1.3
"526","3029",101,0.7
"527","3030",101,3.7
"528","3031",101,0
"529","3032",101,0
"530","3033",101,1.5
"531","3034",101,5.6
"532","3035",101,2
"533","3036",101,2.1
"534","3037",101,1.1
"535","3038",101,0
"536","3040",101,0.2
"537","3041",101,2
"538","3042",101,2.2
"539","3043",101,0
"540","3044",101,2.5
"541","3045",101,5.4
"542","3046",101,0
"543","3047",101,0.13
"544","3048",101,0.5
"545","3049",101,0
"546","3050",101,0
"547","3051",101,0
"548","3052",101,0.4
"549","3054",101,0
"550","3055",101,0.3
"551","3056",101,1
"552","3057",101,0.024
"553","3058",101,1.8
"554","3059",101,0.1
"555","3060",101,4
"556","3062",101,0.15
"557","3090",101,0.3
"558","3094",101,0.6
"559","3130",101,4.545
"560","3149",101,0.82
"561","3164",101,0.5
"562","3167",101,2.5
"563","3189",101,3
"564","3209",101,0.6
"565","3229",101,0
"566","3231",101,1.5
"567","3257",101,1.5
"568","3266",101,0
"569","3296",101,0.73
"570","3305",101,1.8
"571","3308",101,0
"572","3311",101,3.4
"573","3312",101,0
"574","3338",101,1.5
"575","3346",101,0.2
"576","3356",101,6.7
"577","3376",101,4.5
"578","3380",101,1.13
"579","3383",101,0
"580","3406",101,2
"581","3413",101,0
"582","3416",101,2.5
"583","3419",101,0.07783686
"584","3432",101,0
"585","3443",101,0
"586","3450",101,2
"587","3454",101,6
"588","3481",101,0
"589","3494",101,0
"590","3501",101,3.2
"591","3504",101,2.1
"592","3514",101,0
"593","3515",101,8
"594","3518",101,0
"595","3519",101,0
"596","3528",101,1.80000001
"597","3532",101,0.1
"598","3533",101,4.5
"599","3535",101,0
"600","3536",101,0
"601","3545",101,0.7
"602","3550",101,0.5
"603","3557",101,0
"604","3561",101,0
"605","3576",101,NA
"606","3579",101,0
"607","3583",101,0
"608","3588",101,2.2
"609","3591",101,0.3015
"610","3593",101,0
"611","3596",101,1
"612","3598",101,0.5
"613","3605",101,1.2
"614","3607",101,3
"615","3617",101,3.8
"616","3622",101,0.5
"617","3638",101,2.98132474
"618","3645",101,1
"619","3653",101,2
"620","3661",101,0
"621","3665",101,3.5
"622","3669",101,0.48
"623","3673",101,21
"624","3679",101,1.5
"625","3682",101,0.7
"626","3686",101,0
"627","3694",101,0
"628","3698",101,0.45
"629","3701",101,0
"630","3702",101,2.4
"631","3703",101,0.5
"632","3704",101,0
"633","3705",101,1.5
"634","3990",101,1
"635","3999",101,1
"636","3999",101,1
"637","4104",101,2
"638","4106",101,0.5
"639","4108",101,0
"640","4119",101,2.68
"641","4133",101,1.2
"642","4137",101,4.2
"643","4141",101,1.1
"644","4142",101,0
"645","4144",101,3.2
"646","4155",101,0.4
"647","4164",101,3
"648","4306",101,0.5
"649","4414",101,0
"650","4426",101,0.36
"651","4526",101,1
"652","4532",101,1.5
"653","4536",101,3
"654","4545",101,0.27
"655","4720",101,0.7
"656","4722",101,1.5
"657","4725",101,0.4
"658","4737",101,0.8
"659","4739",101,0.3
"660","4746",101,0
"661","4755",101,0.64746007
"662","4904",101,2.928
"663","4906",101,2.4
"664","4912",101,5
"665","4915",101,1.5
"666","4916",101,0
"667","4919",101,1.7
"668","4927",101,3
"669","4930",101,0
"670","4934",101,0
"671","4935",101,1.2
"672","4938",101,1.5
"673","4942",101,2
"674","4943",101,0.52086123
"675","4952",101,0.5
"676","4956",101,0
"677","4958",101,2
"678","4960",101,0.9
"679","4968",101,0
"680","4976",101,1.8
"681","4977",101,1.7
"682","4984",101,1.5
"683","4994",101,1
"684","4999",101,2.21259885
"685","5007",101,2
"686","5203",101,7
"687","5215",101,1.5
"688","5225",101,4.35474647
"689","5234",101,1
"690","5243",101,0
"691","5258",101,0.8
"692","5259",101,0.2
"693","5264",101,1
"694","5269",101,2.5
"695","5285",101,1
"696","5305",101,0.3
"697","5388",101,2.75
"698","5434",101,3.6
"699","5469",101,0.4
"700","5471",101,3
"701","5484",101,0
"702","5515",101,1
"703","5519",101,1.08
"704","5521",101,0.3
"705","5522",101,3.5
"706","5525",101,0.8
"707","5531",101,0
"708","5533",101,0.5
"709","5534",101,10
"710","5538",101,3
"711","5607",101,0
"712","5608",101,1
"713","5706",101,2
"714","5871",101,2
"715","5880",101,0.4
"716","5906",101,0
"717","5907",101,3
"718","6005",101,0.15
"719","6024",101,0.89
"720","6108",101,1.4
"721","6112",101,2
"722","6115",101,3.2
"723","6116",101,0
"724","6117",101,0.2
"725","6120",101,0.2086
"726","6128",101,1.7
"727","6131",101,0
"728","6133",101,0
"729","6136",101,1.85
"730","6139",101,2
"731","6141",101,0.5
"732","6142",101,0.55
"733","6145",101,0
"734","6152",101,1.5
"735","6153",101,1.5
"736","6155",101,1.15
"737","6164",101,0.25
"738","6165",101,0
"739","6166",101,1
"740","6168",101,0
"741","6172",101,0
"742","6176",101,8
"743","6177",101,0
"744","6183",101,1.01
"745","6184",101,2
"746","6189",101,2.2
"747","6191",101,0
"748","6192",101,3.5
"749","6196",101,1
"750","6197",101,0.5
"751","6201",101,1.8
"752","6202",101,2.255
"753","6205",101,1.2
"754","6206",101,3.5
"755","6209",101,1.6
"756","6213",101,2.5
"757","6214",101,0
"758","6215",101,0
"759","6216",101,1.3606548
"760","6224",101,3.1
"761","6225",101,0
"762","6226",101,0
"763","6230",101,3
"764","6235",101,0
"765","6239",101,1
"766","6243",101,0
"767","6251",101,0
"768","6257",101,1.05
"769","6269",101,2
"770","6271",101,5
"771","6277",101,3.3
"772","6278",101,1.5
"773","6281",101,4.282
"774","6282",101,1.5
"775","6283",101,0
"776","6285",101,2.2
"777","6289",101,0
"778","6405",101,1.5
"779","6409",101,7
"780","6412",101,1.85
"781","6414",101,1.736
"782","6415",101,0
"783","6504",101,1.5
"784","6505",101,0.26
"785","6605",101,3
"786","8011",101,1.2
"787","8016",101,2.5
"788","8021",101,0.7082
"789","8033",101,0
"790","8039",101,1.5
"791","8046",101,0
"792","8070",101,2.99999994
"793","8072",101,7
"794","8081",101,5.1
"795","8101",101,0
"796","8103",101,2.8727
"797","8105",101,0
"798","8110",101,0
"799","8112",101,0.402761
"800","8114",101,5
"801","8131",101,1
"802","8150",101,0.5
"803","8163",101,0.6
"804","8201",101,0
"805","8210",101,2.5
"806","8213",101,2.5
"807","8215",101,0
"808","8222",101,0
"809","8249",101,0.9
"810","8261",101,0
"811","8271",101,1.62
"812","8341",101,0.8
"813","8374",101,0
"814","8404",101,0.52
"815","8411",101,0.35
"816","8422",101,12.03075436
"817","8427",101,2.53
"818","8429",101,4.3
"819","8443",101,3
"820","8454",101,3.92
"821","8926",101,1.2
"822","8940",101,1
"823","8996",101,1
"824","9802",101,2
"825","9902",101,0
"826","9904",101,1.5
"827","9905",101,2
"828","9906",101,0
"829","9907",101,0.15
"830","9908",101,1
"831","9910",101,2.2
"832","9911",101,0.7
"833","9912",101,4.5
"834","9914",101,5.5
"835","9917",101,3.2
"836","9918",101,1.2
"837","9919",101,0.3
"838","9921",101,5.5
"839","9924",101,1.5
"840","9925",101,1.8
"841","9926",101,1.2
"842","9927",101,2.2
"843","9928",101,0
"844","9929",101,0
"845","9930",101,2.8
"846","9931",101,1.7
"847","9933",101,2.85
"848","9934",101,0
"849","9935",101,0
"850","9937",101,1.3
"851","9938",101,1
"852","9939",101,3
"853","9940",101,1.5
"854","9941",101,3
"855","9942",101,3.2
"856","9943",101,3
"857","9944",101,0.2
"858","9945",101,2.91
"859","9946",101,2.1
"860","9955",101,0.3
"861","9958",101,0.3
"862","1101",102,2.3
"863","1102",102,1.8
"864","1103",102,0.5
"865","1104",102,0.9
"866","1108",102,0.45
"867","1109",102,1.2
"868","1110",102,0.2
"869","1201",102,0.6
"870","1203",102,1
"871","1210",102,1
"872","1213",102,0
"873","1215",102,0.8
"874","1216",102,1.5
"875","1217",102,0
"876","1218",102,0
"877","1219",102,0.15
"878","1220",102,0.35
"879","1225",102,0.25
"880","1227",102,1.6
"881","1229",102,1
"882","1231",102,1
"883","1232",102,3.8
"884","1233",102,2.25
"885","1234",102,1.5
"886","1235",102,0
"887","1236",102,1.3
"888","1256",102,5
"889","1262",102,2.5
"890","1301",102,1.9
"891","1303",102,1.9
"892","1304",102,0.6
"893","1305",102,0.8
"894","1307",102,1.4
"895","1308",102,1
"896","1309",102,0
"897","1310",102,0.5
"898","1312",102,1
"899","1312A",102,1.6
"900","1313",102,0.4
"901","1314",102,0
"902","1315",102,1
"903","1316",102,0
"904","1319",102,1.1
"905","1321",102,0
"906","1323",102,1
"907","1324",102,1.3
"908","1325",102,0.65
"909","1326",102,2.5
"910","1337",102,2.5
"911","1338",102,2.5
"912","1339",102,1.5
"913","1340",102,4
"914","1402",102,1.3
"915","1409",102,0.35
"916","1410",102,0.9
"917","1413",102,0
"918","1414",102,0.48
"919","1416",102,2
"920","1417",102,0.2
"921","1418",102,0
"922","1419",102,0.45
"923","1423",102,0
"924","1432",102,0
"925","1434",102,1
"926","1435",102,0
"927","1436",102,0
"928","1437",102,0
"929","1438",102,0
"930","1439",102,0.5
"931","1440",102,0.3
"932","1441",102,0
"933","1442",102,4
"934","1443",102,0
"935","1444",102,0
"936","1445",102,0.5
"937","1446",102,0.3
"938","1447",102,0
"939","1449",102,0
"940","1451",102,2
"941","1452",102,0.8
"942","1453",102,0
"943","1454",102,0.25
"944","1455",102,0.2
"945","1456",102,0
"946","1457",102,0.1
"947","1459",102,0.35
"948","1460",102,0
"949","1463",102,0
"950","1464",102,0
"951","1465",102,0.5
"952","1466",102,0.5
"953","1467",102,0
"954","1468",102,0
"955","1469",102,0
"956","1470",102,0.3
"957","1471",102,0
"958","1472",102,0
"959","1473",102,2.5
"960","1474",102,0.2
"961","1475",102,0
"962","1476",102,7
"963","1477",102,7.7
"964","1503",102,1.4
"965","1504",102,1.1
"966","1506",102,0
"967","1507",102,2.5
"968","1512",102,0
"969","1513",102,0.8
"970","1514",102,0.3
"971","1515",102,0.5
"972","1516",102,0
"973","1517",102,0.5
"974","1519",102,0.32
"975","1521",102,3.7
"976","1522",102,0
"977","1524",102,0
"978","1525",102,1.6
"979","1526",102,0
"980","1527",102,2.5
"981","1528",102,0.6
"982","1529",102,0
"983","1530",102,2
"984","1531",102,1
"985","1532",102,2.6
"986","1533",102,1.5
"987","1535",102,3.5
"988","1536",102,1.2
"989","1537",102,5.5
"990","1538",102,0
"991","1539",102,0
"992","1540",102,1.3
"993","1541",102,0
"994","1558",102,9
"995","1560",102,3.3
"996","1568",102,0.56250576
"997","1582",102,3.5
"998","1583",102,2.7
"999","1589",102,3.5
"1000","1590",102,6.3
"1001","1592",102,2
"1002","1598",102,0
"1003","1603",102,0
"1004","1604",102,0.7
"1005","1605",102,0
"1006","1608",102,0.7
"1007","1609",102,0.2
"1008","1611",102,0
"1009","1612",102,0.75
"1010","1614",102,0.9
"1011","1615",102,0.3
"1012","1616",102,0
"1013","1617",102,0
"1014","1618",102,0
"1015","1626",102,2.55
"1016","1701",102,0.5
"1017","1702",102,2
"1018","1704",102,0.5
"1019","1707",102,5
"1020","1708",102,0.5
"1021","1709",102,0.6
"1022","1710",102,1.2
"1023","1711",102,0.5
"1024","1712",102,0.8
"1025","1713",102,0.48
"1026","1714",102,0
"1027","1717",102,1.4
"1028","1718",102,0
"1029","1720",102,1.5
"1030","1721",102,0
"1031","1722",102,2
"1032","1723",102,8.3
"1033","1724",102,0.2
"1034","1725",102,0.35
"1035","1726",102,3.8
"1036","1727",102,0.5
"1037","1730",102,2.7
"1038","1731",102,0.4
"1039","1732",102,0
"1040","1733",102,3.3
"1041","1734",102,0.8
"1042","1735",102,0.5
"1043","1736",102,2
"1044","1737",102,0.5
"1045","1760",102,0
"1046","1762",102,1
"1047","1773",102,2
"1048","1776",102,0.9
"1049","1783",102,0
"1050","1786",102,0
"1051","1789",102,1.2
"1052","1802",102,0.1
"1053","1805",102,0
"1054","1806",102,0.1
"1055","1808",102,0.3
"1056","1809",102,0.35
"1057","1810",102,0.33
"1058","1817",102,1.6
"1059","1902",102,0
"1060","1903",102,0
"1061","1904",102,0.6
"1062","1905",102,0
"1063","1906",102,0
"1064","1907",102,0.4
"1065","1909",102,0.8
"1066","2002",102,0.7
"1067","2002A",102,1.2
"1068","2006",102,1.6
"1069","2007",102,0
"1070","2008",102,0
"1071","2009",102,0.5
"1072","2010",102,0.9
"1073","2012",102,0.5
"1074","2013",102,1.5
"1075","2014",102,0
"1076","2015",102,2.2
"1077","2017",102,0
"1078","2020",102,0.5
"1079","2022",102,0
"1080","2023",102,0.2
"1081","2024",102,0
"1082","2025",102,0
"1083","2027",102,0
"1084","2028",102,0
"1085","2029",102,1.15
"1086","2030",102,0
"1087","2031",102,1
"1088","2032",102,0.35
"1089","2033",102,0
"1090","2034",102,1.5
"1091","2038",102,0
"1092","2049",102,2.7
"1093","2059",102,7.5
"1094","2062",102,4.5
"1095","2101",102,1
"1096","2102",102,0.2
"1097","2103",102,1.37
"1098","2104",102,1.15
"1099","2105",102,3
"1100","2106",102,1.8
"1101","2107",102,2
"1102","2108",102,0.4
"1103","2109",102,0.28
"1104","2114",102,5
"1105","2115",102,0.5
"1106","2201",102,0.7
"1107","2204",102,1.1
"1108","2206",102,0
"1109","2207",102,9.5
"1110","2208",102,0.5
"1111","2227",102,19.47
"1112","2228",102,3.5
"1113","2231",102,4
"1114","2236",102,1
"1115","2301",102,2.71
"1116","2302",102,0.0249
"1117","2303",102,0.01
"1118","2305",102,0
"1119","2308",102,5.8
"1120","2311",102,1.3
"1121","2312",102,0
"1122","2313",102,0.5
"1123","2314",102,0
"1124","2316",102,0.8
"1125","2317",102,1.8
"1126","2321",102,0
"1127","2323",102,0
"1128","2324",102,0.5
"1129","2325",102,1.8
"1130","2327",102,0.1
"1131","2328",102,0.3
"1132","2329",102,0
"1133","2330",102,3
"1134","2331",102,3
"1135","2332",102,1
"1136","2337",102,0
"1137","2338",102,0.1
"1138","2340",102,0.6
"1139","2342",102,0
"1140","2344",102,0
"1141","2345",102,0.91574958
"1142","2347",102,2.8
"1143","2348",102,0
"1144","2349",102,0
"1145","2351",102,1.6
"1146","2352",102,0
"1147","2353",102,0
"1148","2354",102,1
"1149","2355",102,2.6
"1150","2356",102,1.6
"1151","2357",102,19.5
"1152","2358",102,0
"1153","2359",102,0
"1154","2360",102,2.5
"1155","2362",102,3.15
"1156","2363",102,0
"1157","2364",102,0
"1158","2365",102,0.2
"1159","2367",102,0
"1160","2368",102,0
"1161","2369",102,0.7103
"1162","2371",102,0
"1163","2373",102,3.13
"1164","2374",102,2.2
"1165","2375",102,0.1
"1166","2376",102,3
"1167","2377",102,2
"1168","2379",102,5
"1169","2380",102,0
"1170","2382",102,3.8
"1171","2383",102,1.8
"1172","2385",102,4.6
"1173","2387",102,0.15
"1174","2388",102,0
"1175","2390",102,0.5
"1176","2392",102,3
"1177","2393",102,3
"1178","2395",102,5.3
"1179","2397",102,1.8
"1180","2399",102,0.6
"1181","2401",102,0
"1182","2402",102,0.6
"1183","2404",102,2.4
"1184","2405",102,0.7
"1185","2406",102,0
"1186","2408",102,0
"1187","2409",102,0.01
"1188","2412",102,2.3881
"1189","2413",102,0
"1190","2414",102,0.69242782
"1191","2415",102,0.8
"1192","2417",102,0
"1193","2419",102,0.1521
"1194","2420",102,2.8
"1195","2421",102,1
"1196","2423",102,0.25
"1197","2424",102,0
"1198","2425",102,0.3
"1199","2426",102,0
"1200","2427",102,0
"1201","2428",102,2
"1202","2429",102,0
"1203","2430",102,2
"1204","2431",102,0
"1205","2433",102,4
"1206","2434",102,0
"1207","2436",102,0.06
"1208","2438",102,0
"1209","2439",102,3.7
"1210","2440",102,0
"1211","2441",102,1.8
"1212","2442",102,0.049
"1213","2443",102,0
"1214","2444",102,0
"1215","2448",102,0.18479
"1216","2449",102,1.3
"1217","2450",102,4
"1218","2451",102,6.7
"1219","2453",102,0.6
"1220","2454",102,15
"1221","2455",102,1.8
"1222","2456",102,0.2
"1223","2457",102,0.49530506
