出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"110/06/19","103/7","1258","其祥-KY","食品工業","112263","100150","105781","12.094857713429855","6.127754511679791","757156","731594","3.4940144397028954","-"
"110/06/19","103/7","1259","安心","觀光事業","407533","378795","393442","7.5866893702398395","3.5814681706579368","2502839","2528637","-1.020233430104835","-"
"110/06/19","103/7","1264","德麥","食品工業","285314","251546","168801","13.424184840943605","69.02388019028324","1917021","1147364","67.08045572285691","-"
"110/06/19","103/7","1336","台翰","電子零組件業","178816","192207","182261","-6.966967904394741","-1.890146548082146","1283287","1138315","12.735666313805933","-"
"110/06/19","103/7","1565","精華","生技醫療業","449522","439694","444222","2.2351908372640974","1.1930971451211332","3190865","2854520","11.782891694575621","-"
"110/06/19","103/7","1569","濱川","電腦及週邊設備業","251000","208740","227025","20.24528121107598","10.560510956943068","1443528","1681772","-14.166248456984656","-"
"110/06/19","103/7","1570","力肯","電機機械","43379","56595","60329","-23.351886209029065","-28.09594059241824","321878","354034","-9.08274346531689","-"
"110/06/19","103/7","1580","新麥","電機機械","387935","345709","336416","12.21431897925712","15.31407543041948","2184485","1960200","11.441944699520457","-"
"110/06/19","103/7","1584","精剛","其他","96205","92976","93614","3.4729392531405954","2.7677484136988055","656793","688503","-4.605644419850022","-"
"110/06/19","103/7","1586","和勤","電機機械","147754","121334","107845","21.774605634034977","37.00588808011498","922450","720301","28.064517472556613","-"
"110/06/19","103/7","1591","駿吉-KY","電機機械","62577","61066","50889","2.4743719909606","22.967635441844013","411074","383249","7.260292916615568","-"
"110/06/19","103/7","1593","祺驊","生技醫療業","77060","70668","77343","9.045112356370634","-0.3659025380448134","485668","428433","13.359148338246587","-"
"110/06/19","103/7","1595","川寶","電子零組件業","76175","144385","137517","-47.24174948921287","-44.60684860780849","869429","820112","6.013446943832062","-"
"110/06/19","103/7","1599","宏佳騰","電機機械","207773","141548","209203","46.78624918755475","-0.6835466030601856","1134412","1026328","10.531136244943138","-"
"110/06/19","103/7","1742","台蠟","化學工業","90774","98325","123696","-7.679633867276888","-26.615250291036087","788400","932584","-15.46069844646702","-"
"110/06/19","103/7","1752","南光","生技醫療業","114197","86728","90667","31.672585554838115","25.952110470182095","673704","556607","21.037644154672865","-"
"110/06/19","103/7","1777","生泰","生技醫療業","54854","54741","48557","0.20642662720812555","12.968264101983236","359429","319536","12.484665264633719","-"
"110/06/19","103/7","1781","合世","生技醫療業","51231","35388","76612","44.76941336046117","-33.129274787239595","324014","814626","-60.2254286015914","-"
"110/06/19","103/7","1784","訊聯","生技醫療業","53574","54293","61195","-1.324295949754112","-12.453631832666067","367554","411816","-10.748003962934902","-"
"110/06/19","103/7","1785","光洋科","其他電子業","5113077","5069934","2254984","0.8509578231195909","126.74559996878027","29859890","19648299","51.97188316403369","-"
"110/06/19","103/7","1788","杏昌","生技醫療業","225012","235648","207376","-4.513511678435632","8.504359231540777","1550070","1520341","1.9554165808854724","-"
"110/06/19","103/7","1799","易威","生技醫療業","8014","5942","12942","34.87041400201952","-38.07757688147118","43724","63786","-31.45204276800552","-"
"110/06/19","103/7","1813","寶利徠","生技醫療業","24005","38788","36555","-38.11230277405383","-34.331828751196824","238217","283722","-16.038587067622533","-"
"110/06/19","103/7","1815","富喬","電子零組件業","400554","382514","356828","4.716167251394721","12.254083199748898","2629638","2451658","7.259576988307504","-"
"110/06/19","103/7","2035","唐榮公司","鋼鐵工業","2000106","2298909","1249164","-12.99760016599178","60.115565290065994","13773334","10135303","35.894644688964895","-"
"110/06/19","103/7","2061","風青","電器電纜","127168","99172","150934","28.229742265962166","-15.74595518571031","793492","1229178","-35.44531386015695","-"
"110/06/19","103/7","2063","世鎧","鋼鐵工業","84398","57128","64592","47.73491107687999","30.663240029725042","391394","333839","17.240346394519513","-"
"110/06/19","103/7","2064","晉椿","鋼鐵工業","247214","239067","246698","3.4078312774243202","0.20916261988342022","1628972","1687587","-3.473302413445944","-"
"110/06/19","103/7","2065","世豐","鋼鐵工業","109270","107673","96606","1.4831944870115998","13.108916630437033","599672","711924","-15.767413375585035","-"
"110/06/19","103/7","2066","世德","電機機械","104295","111166","98917","-6.180846661749096","5.436881425841867","730044","594670","22.764558494627273","-"
"110/06/19","103/7","2067","嘉鋼","電機機械","113001","97086","91530","16.39268277609542","23.457882661422484","717993","555659","29.21468022654182","10307及10207自結數"
"110/06/19","103/7","2221","大甲","其他","61045","75702","53615","-19.361443554991943","13.858062109484287","392241","431550","-9.10879388251651","-"
"110/06/19","103/7","2230","泰茂","電機機械","30612","28874","28333","6.019256078132576","8.043624042635797","204818","218140","-6.107087191711745","-"
"110/06/19","103/7","2235","謚源","電機機械","76730","68360","64470","12.24400234055003","19.016596866759734","506369","367571","37.7608679683653","-"
"110/06/19","103/7","2596","綠意","建材營造","48597","116977","271","-58.45593578224779","17832.472324723247","466755","362214","28.86166741208236","-"
"110/06/19","103/7","2640","大車隊","其他","151453","116855","98634","29.607633391810364","53.55049982764564","781897","611741","27.815039371237173","-"
"110/06/19","103/7","2641","正德","航運業","56623","63421","53977","-10.71884706958263","4.9020879263389965","396709","382321","3.763329767394415","-"
"110/06/19","103/7","2643","捷迅","航運業","181219","203410","0","-10.909493141930092","","1317157","0","","去年同期因本公司為公開發行公司，尚未採用IFRSs，故未輸入"
"110/06/19","103/7","2718","晶悅","觀光事業","21252","22652","19968","-6.180469715698393","6.430288461538462","154602","145951","5.927331775732951","-"
"110/06/19","103/7","2719","燦星旅","觀光事業","421229","283964","417607","48.33887394176727","0.867322626296973","1913659","1848864","3.504584436713571","-"
"110/06/19","103/7","2724","富驛-KY","觀光事業","84875","115395","84400","-26.448286320897786","0.5627962085308057","581734","518908","12.107348508791539","-"
"110/06/19","103/7","2726","雅茗-KY","觀光事業","141664","112576","139657","25.838544627629336","1.4370923047179875","880752","824194","6.862219331856335","-"
"110/06/19","103/7","2729","瓦城","觀光事業","260956","249090","206200","4.763740013649685","26.554801163918526","1678786","1307933","28.354128231339068","-"
"110/06/19","103/7","2732","六角","觀光事業","98082","111238","106482","-11.82689368740898","-7.888657237843016","712363","640237","11.265515738703012","-"
"110/06/19","103/7","2734","易飛網","觀光事業","160654","166866","168482","-3.722747593877722","-4.646193658669769","1013941","877384","15.564108759676493","-"
"110/06/19","103/7","2736","高野","觀光事業","78457","59378","62497","32.131429148843004","25.53722578683777","483377","407117","18.73171594406522","-"
"110/06/19","103/7","2916","滿心","貿易百貨","79338","103867","80384","-23.61577786977577","-1.3012539808917198","704444","724179","-2.7251549685920193","-"
"110/06/19","103/7","2924","東凌-KY","貿易百貨","92059","109775","101603","-16.13846504213163","-9.393423422536737","805055","826404","-2.583361164757189","-"
"110/06/19","103/7","2926","誠品生活","文化創意業","284524","262752","287445","8.286140543173792","-1.016194402407417","1958341","1892952","3.454340099484826","-"
"110/06/19","103/7","3064","泰偉","文化創意業","6000","8294","12825","-27.65854834820352","-53.21637426900585","115010","155004","-25.80191478929576","-"
"110/06/19","103/7","3066","李洲","光電業","46126","55137","69816","-16.342927616663946","-33.93204995989458","358736","333123","7.688751602261027","-"
"110/06/19","103/7","3067","全域","其他電子業","25073","18579","40894","34.9534420582378","-38.68782706509512","169955","237272","-28.371236386931454","-"
"110/06/19","103/7","3071","協禧","電腦及週邊設備業","225136","203587","267215","10.584664050258612","-15.747244728027992","1531260","1644684","-6.89640076756386","-"
"110/06/19","103/7","3073","天方能源","半導體業","6606","7448","13368","-11.305048335123523","-50.5834829443447","47641","99374","-52.058888642904584","-"
"110/06/19","103/7","3078","僑威","電子零組件業","442929","493782","444461","-10.298674313765995","-0.34468716040327496","3267323","2885479","13.233296794050485","-"
"110/06/19","103/7","3081","聯亞","通信網路業","100150","113497","63675","-11.759782196886261","57.283078131134666","716916","447097","60.349096504785315","-"
"110/06/19","103/7","3083","網龍","文化創意業","28990","52265","47462","-44.5326700468765","-38.91955669798997","285027","462764","-38.40769809233216","-"
"110/06/19","103/7","3085","新零售","電子商務","24728","31335","44416","-21.08504866762406","-44.32636887608069","215279","253092","-14.940416923490272","-"
"110/06/19","103/7","3086","華義","文化創意業","37866","52705","50562","-28.154824020491414","-25.109766227601757","313661","400038","-21.592198741119592","-"
"110/06/19","103/7","3088","艾訊","電腦及週邊設備業","329384","358785","312578","-8.194601223574006","5.37657800612967","2555719","1978606","29.167656420732577","-"
"110/06/19","103/7","3089","元炬","電子零組件業","43668","50717","32374","-13.898692746022045","34.886019645394455","309890","184024","68.39651349823936","-"
"110/06/19","103/7","3093","港建","其他電子業","61795","78325","82974","-21.10437280561762","-25.52486321016222","504812","523388","-3.5491833974030738","-"
"110/06/19","103/7","3095","及成","通信網路業","339286","390311","430183","-13.072908526790176","-21.12984474049416","2737580","2657640","3.007931849309914","-"
"110/06/19","103/7","3105","穩懋","半導體業","964257","917095","1084155","5.142542484693516","-11.059119775308881","5092319","7115938","-28.43783911551787","-"
"110/06/19","103/7","3114","好德","電子零組件業","148752","133224","113230","11.655557557196902","31.371544643645677","949229","870258","9.074435397318956","-"
"110/06/19","103/7","3115","寶島極","電子零組件業","62209","66739","55914","-6.787635415574102","11.258361054476518","401424","350294","14.596310527728138","海外子公司之營收，係以當月平均匯率換算之"
"110/06/19","103/7","3118","進階","生技醫療業","38512","53213","42608","-27.626707759382107","-9.613218174990612","297328","295061","0.7683157042103158","-"
"110/06/19","103/7","3122","笙泉","半導體業","40387","47929","42504","-15.735775835089402","-4.980707698099002","307293","313694","-2.0405235675530933","-"
"110/06/19","103/7","3128","昇銳","光電業","68203","75060","81190","-9.135358379962696","-15.995812292154206","471576","565198","-16.564460596109683","-"
"110/06/19","103/7","3131","弘塑","其他電子業","97175","66537","133486","46.04656056028976","-27.20210359138786","737942","1322890","-44.217433044319634","-"
"110/06/19","103/7","3141","晶宏","半導體業","102470","85691","74870","19.5808194559522","36.86389742219848","586726","508136","15.466331848166632","-"
"110/06/19","103/7","3144","新揚科","電子零組件業","204216","144520","147718","41.306393578743425","38.24720074736999","1048725","860080","21.933424797693238","-"
"110/06/19","103/7","3147","大綜","資訊服務業","160979","149116","193104","7.955551382816062","-16.636113182533766","1131854","1232258","-8.14796901298267","-"
"110/06/19","103/7","3152","璟德","通信網路業","110269","107523","120374","2.5538721947862317","-8.394669945337032","718763","762875","-5.7823365557922335","-"
"110/06/19","103/7","3162","精確","電機機械","70383","70342","76740","0.05828665662051122","-8.28381548084441","454348","449702","1.0331286051651982","-"
