出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"110/06/19","103/3","1258","其祥-KY","食品工業","109422","95351","106809","14.757055510692075","2.4464230542370027","329524","324788","1.4581819525351922","-"
"110/06/19","103/3","1259","安心","觀光事業","340297","324963","349716","4.718691050981189","-2.6933283006782647","1014002","1033056","-1.8444305052194654","-"
"110/06/19","103/3","1264","德麥","食品工業","276774","191234","176830","44.73053954840666","56.51982129729118","799075","492200","62.347622917513206","-"
"110/06/19","103/3","1336","台翰","電子零組件業","221138","180930","195912","22.22295915547449","12.876189309485891","563805","491960","14.603829579640621","-"
"110/06/19","103/3","1565","精華","生技醫療業","450124","457771","360573","-1.6704858979708195","24.835747546266635","1384623","1122098","23.39590659639354","-"
"110/06/19","103/3","1569","濱川","電腦及週邊設備業","216083","130363","267416","65.75485375451623","-19.195934424267808","547930","787714","-30.44048982244825","-"
"110/06/19","103/3","1570","力肯","電機機械","38247","48008","46195","-20.332027995334112","-17.20532525165061","130061","131191","-0.8613395735987986","-"
"110/06/19","103/3","1580","新麥","電機機械","328658","176604","235689","86.09884260832145","39.44562537920734","755671","651834","15.929976036843737","-"
"110/06/19","103/3","1584","精剛","其他","92014","93717","126792","-1.8171729782216675","-27.42917534229289","285280","283591","0.5955760232165337","-"
"110/06/19","103/3","1586","和勤","電機機械","129501","107866","107427","20.05729330836408","20.547906950766567","374397","292463","28.015167730618916","-"
"110/06/19","103/3","1591","駿吉-KY","電機機械","61771","60255","56000","2.5159737781097005","10.305357142857142","161835","165414","-2.1636620842250354","-"
"110/06/19","103/3","1593","祺驊","生技醫療業","71812","54244","68419","32.38699210972642","4.959148774463234","187582","183970","1.963363591889982","-"
"110/06/19","103/3","1595","川寶","電子零組件業","181122","86603","101026","109.14056095054444","79.28256092491041","335668","279293","20.18489543239537","-"
"110/06/19","103/3","1599","宏佳騰","電機機械","176162","118104","179976","49.158368895211","-2.1191714450815664","495865","304384","62.90770868376787","-"
"110/06/19","103/3","1742","台蠟","化學工業","91482","103574","188436","-11.67474462702995","-51.45195185633318","322846","461600","-30.05935875216638","-"
"110/06/19","103/3","1752","南光","生技醫療業","100361","79930","71039","25.56111597647942","41.27591886147046","270959","227433","19.137943921946242","-"
"110/06/19","103/3","1777","生泰","生技醫療業","59029","41065","54017","43.74528187020577","9.278560453190662","152394","126559","20.413404025000197","-"
"110/06/19","103/3","1781","合世","生技醫療業","42205","39086","175801","7.979839328659878","-75.99274179327763","147821","391409","-62.23362263003661","-"
"110/06/19","103/3","1784","訊聯","生技醫療業","56750","39333","53046","44.28088373630285","6.98261885910342","144755","171729","-15.707306279079248","-"
"110/06/19","103/3","1785","光洋科","其他電子業","5064892","2223315","2780357","127.80811535927208","82.16696632842473","8860211","9534381","-7.070936225435086","-"
"110/06/19","103/3","1788","杏昌","生技醫療業","222653","180419","206663","23.408842749377836","7.737234047700846","640020","648169","-1.2572338387056463","-"
"110/06/19","103/3","1799","易威","生技醫療業","3415","3921","6800","-12.904871206324916","-49.779411764705884","17619","21561","-18.283010992069013","-"
"110/06/19","103/3","1813","寶利徠","生技醫療業","38780","34868","42957","11.219456234943214","-9.72367716553763","107788","124794","-13.627257720723753","-"
"110/06/19","103/3","1815","富喬","電子零組件業","427930","327233","403299","30.77226318861484","6.107379388493401","1070291","1106251","-3.2506185305143225","-"
"110/06/19","103/3","2035","唐榮公司","鋼鐵工業","1910511","1627966","1679240","17.355706445957715","13.772361306305234","4976259","4893632","1.6884596144540496","-"
"110/06/19","103/3","2061","風青","電器電纜","125942","76953","190910","63.66093589593648","-34.03069509192813","321553","525225","-38.7780475034509","-"
"110/06/19","103/3","2063","世鎧","鋼鐵工業","64173","34440","53518","86.33275261324042","19.90918943159311","155427","129964","19.592348650395493","-"
"110/06/19","103/3","2064","晉椿","鋼鐵工業","232827","206013","266917","13.015683476285478","-12.771760509821405","645592","730537","-11.627747807434805","-"
"110/06/19","103/3","2065","世豐","鋼鐵工業","69262","68554","122070","1.0327624938005076","-43.26042434668633","220440","318689","-30.829115532698022","-"
"110/06/19","103/3","2066","世德","電機機械","110180","85450","88013","28.940901111761264","25.186052060491065","294510","220737","33.421220728740536","-"
"110/06/19","103/3","2067","嘉鋼","電機機械","105519","72590","77086","45.36299765807963","36.884778040111044","284784","236555","20.38807042759612","10303及10203自結數"
"110/06/19","103/3","2221","大甲","其他","39905","59117","66194","-32.49826615017677","-39.71507991660876","141853","172924","-17.968009067567255","-"
"110/06/19","103/3","2230","泰茂","電機機械","30688","22400","34141","37.0","-10.113939251925837","85272","97061","-12.14597006006532","-"
"110/06/19","103/3","2235","謚源","電機機械","90130","51288","59866","75.7331149586648","50.552901479971936","199053","143380","38.82898591156368","-"
"110/06/19","103/3","2596","綠意","建材營造","56487","57704","71720","-2.1090392347150977","-21.239542665923032","170676","310867","-45.09677772166232","-"
"110/06/19","103/3","2640","大車隊","其他","98627","87322","76682","12.946336547490896","28.618189405597143","295266","234899","25.699130264496656","-"
"110/06/19","103/3","2641","正德","航運業","64314","42744","46926","50.463222908478386","37.054085155350975","169574","145291","16.7133545780537","-"
"110/06/19","103/3","2643","捷迅","航運業","150385","176208","0","-14.654839734858804","","475978","0","","去年同期因本公司為公開發行公司，尚未採用IFRSs，故未輸入"
"110/06/19","103/3","2718","晶悅","觀光事業","23364","20742","21877","12.64101822389355","6.797092837226311","65902","61247","7.600372263131256","-"
"110/06/19","103/3","2719","燦星旅","觀光事業","215345","318670","209708","-32.423824018577214","2.6880233467488126","759629","749167","1.3964843619646887","-"
"110/06/19","103/3","2724","富驛-KY","觀光事業","80962","60826","78232","33.10426462368066","3.4896206156048675","211407","188085","12.399712895765212","-"
"110/06/19","103/3","2726","雅茗-KY","觀光事業","114680","99359","114051","15.41984118197647","0.5515076588543721","374978","330921","13.313449433550606","-"
"110/06/19","103/3","2729","瓦城","觀光事業","205377","261020","158846","-21.31752356141292","29.293151857774195","717519","539690","32.950212158831924","-"
"110/06/19","103/3","2732","六角","觀光事業","113421","87199","79172","30.071445773460706","43.258980447633","290476","218516","32.931227003972246","-"
"110/06/19","103/3","2734","易飛網","觀光事業","134452","143787","90996","-6.4922419968425515","47.75594531627764","380734","318475","19.54910118533637","-"
"110/06/19","103/3","2736","高野","觀光事業","70648","94747","56972","-25.435106124732183","24.004774275082497","224882","198957","13.03045381665385","-"
"110/06/19","103/3","2916","滿心","貿易百貨","85645","89579","93715","-4.391654293975151","-8.611214853545324","326394","344751","-5.324712618672607","-"
"110/06/19","103/3","2924","東凌-KY","貿易百貨","127779","95009","144193","34.491469229230916","-11.38335425436741","351966","380113","-7.404903278761842","-"
"110/06/19","103/3","2926","誠品生活","文化創意業","280464","282883","276735","-0.855123849789489","1.3474985094043037","868097","821720","5.643893296986808","-"
"110/06/19","103/3","3064","泰偉","文化創意業","32835","28306","25458","16.000141312795872","28.977138816874852","75571","71240","6.079449747332959","-"
"110/06/19","103/3","3066","李洲","光電業","63697","39641","47116","60.68464468605737","35.19186688173869","154382","126982","21.577861429178938","-"
"110/06/19","103/3","3067","全域","其他電子業","31338","23151","42521","35.36348321886744","-26.29994590908022","72892","102111","-28.61493864519983","-"
"110/06/19","103/3","3071","協禧","電腦及週邊設備業","216581","173980","215482","24.486147833084264","0.5100193983720218","630572","614066","2.6879846791712945","-"
"110/06/19","103/3","3073","天方能源","半導體業","4446","4155","20675","7.003610108303249","-78.49576783555018","14111","45767","-69.1677409487185","-"
"110/06/19","103/3","3078","僑威","電子零組件業","502291","345168","410663","45.520731933435314","22.312212203193372","1288418","1020959","26.19684042160361","-"
"110/06/19","103/3","3081","聯亞","通信網路業","104095","90234","58013","15.361172063745373","79.43391998345199","284014","174611","62.65527372273225","-"
"110/06/19","103/3","3083","網龍","文化創意業","48782","46510","68080","4.88497097398409","-28.346063454759108","148103","201863","-26.631923631373752","-"
"110/06/19","103/3","3085","新零售","電子商務","33034","31942","36090","3.4186963872018032","-8.467719589914104","98440","101774","-3.2758857861536343","-"
"110/06/19","103/3","3086","華義","文化創意業","28002","34953","62231","-19.88670500386233","-55.00313348652601","105813","187934","-43.696723317760494","-"
"110/06/19","103/3","3088","艾訊","電腦及週邊設備業","407991","335819","317115","21.491339084447276","28.65711177333144","1094581","809990","35.135125125001544","-"
"110/06/19","103/3","3089","元炬","電子零組件業","28057","29916","24718","-6.214066051611178","13.508374463953395","75992","71349","6.50744929851855","-"
"110/06/19","103/3","3093","港建","其他電子業","111935","64757","77692","72.85389996448261","44.07532307058642","225142","223476","0.745493923284827","-"
"110/06/19","103/3","3095","及成","通信網路業","358335","303644","380416","18.011553002858612","-5.804435144683715","1087517","1021503","6.462438191566741","-"
"110/06/19","103/3","3105","穩懋","半導體業","577725","518139","1002017","11.500002894976058","-42.34379257038553","1667026","2848050","-41.46781130949246","-"
"110/06/19","103/3","3114","好德","電子零組件業","121828","114684","149077","6.229290921139827","-18.27847354051933","383013","432534","-11.449042156223557","-"
"110/06/19","103/3","3115","寶島極","電子零組件業","62829","42103","47700","49.22689594565708","31.71698113207547","156592","137581","13.818041735414047","海外子公司之營收，係以當月平均匯率換算之"
"110/06/19","103/3","3118","進階","生技醫療業","50639","29547","59842","71.38457372998951","-15.378830921426422","116570","118624","-1.7315214459131374","-"
"110/06/19","103/3","3122","笙泉","半導體業","44809","30078","41817","48.9759957443979","7.154984814788244","117023","109508","6.862512327866457","-"
"110/06/19","103/3","3128","昇銳","光電業","71214","59890","75846","18.9079979963266","-6.107111779131398","206629","231094","-10.586601123352402","-"
"110/06/19","103/3","3131","弘塑","其他電子業","82919","73847","135633","12.284859235987922","-38.86517292989169","410727","530238","-22.539123940570082","-"
"110/06/19","103/3","3141","晶宏","半導體業","87931","62079","77581","41.64371204433061","13.340895322308297","217220","210558","3.163973821939798","-"
"110/06/19","103/3","3144","新揚科","電子零組件業","134241","90671","132907","48.05285041523751","1.0037093606807768","371651","327316","13.545014603624631","-"
"110/06/19","103/3","3147","大綜","資訊服務業","129443","133065","153273","-2.721977980686131","-15.547421920364318","459865","452707","1.5811551400795658","-"
"110/06/19","103/3","3152","璟德","通信網路業","98524","95061","104025","3.642924017210002","-5.288151886565729","288612","287295","0.4584138255103639","-"
"110/06/19","103/3","3162","精確","電機機械","65325","56094","64838","16.456305487217886","0.7511027483882908","179064","162786","9.999631417935204","-"
"110/06/19","103/3","3163","波若威","通信網路業","177366","139728","169117","26.93661971830986","4.877688227676697","451800","395648","14.192413458427692","-"
"110/06/19","103/3","3169","亞信","半導體業","32944","27705","45269","18.90994405341996","-27.226137091607942","92021","131848","-30.206753230993264","-"
"110/06/19","103/3","3171","新洲","貿易百貨","141486","119735","162596","18.16594980582119","-12.983099215232848","410493","466773","-12.057252668856167","-"
"110/06/19","103/3","3176","基亞","生技醫療業","30155","19118","19158","57.73093419813788","57.40160768347427","86448","25170","243.4564958283671","-"
"110/06/19","103/3","3178","公準","電機機械","83421","59687","63413","39.76410273593915","31.551889991011308","213237","158162","34.821891478357635","-"
"110/06/19","103/3","3188","鑫龍騰","建材營造","25702","16359","30767","57.11229292744055","-16.46244352715572","65527","83569","-21.589345331402793","-"
"110/06/19","103/3","3191","和進","電子零組件業","74195","40915","62770","81.33936209214225","18.201370081249003","175358","164134","6.838315035276055","-"
"110/06/19","103/3","3202","樺晟","電子零組件業","150213","111796","140720","34.363483487781316","6.746020466173962","437735","430191","1.753639662382523","-"
"110/06/19","103/3","3205","佰研","生技醫療業","29062","10033","12410","189.66410844214093","134.18211120064464","59887","44828","33.592843758365305","-"
"110/06/19","103/3","3206","志豐","電子零組件業","103121","56483","99070","82.56997680718092","4.089027960028263","253533","258286","-1.8402081413626754","-"
"110/06/19","103/3","3207","耀勝","電子零組件業","99464","69488","90340","43.13838360580244","10.099623644011512","248193","229500","8.145098039215686","-"
"110/06/19","103/3","3211","順達","電腦及週邊設備業","2259354","1729809","2138372","30.6129173798957","5.657668544107386","5925126","6053589","-2.1220964951535364","-"
"110/06/19","103/3","3213","茂訊","電腦及週邊設備業","164861","161514","155481","2.072266181259829","6.032891478701577","483927","390754","23.844413620845852","本月外銷營業淨收入69,238仟元"
"110/06/19","103/3","3217","優群","電子零組件業","96966","72999","132345","32.83195660214523","-26.732403944236655","282756","452887","-37.56588288027698","-"
"110/06/19","103/3","3218","大學光","生技醫療業","78781","71776","75339","9.759529647793133","4.568682886685515","238312","209432","13.789678750143244","-"
"110/06/19","103/3","3219","倚強科","其他電子業","24077","11994","16475","100.74203768550942","46.14264036418816","48496","44626","8.672074575359655","-"
"110/06/19","103/3","3221","台嘉碩","通信網路業","144560","129106","126878","11.970009139776618","13.93622219770173","415640","333269","24.7160702015489","-"
"110/06/19","103/3","3224","三顧","電子通路業","180061","142176","201173","26.646550753995047","-10.494450050454088","509478","524011","-2.7734150618975555","-"
"110/06/19","103/3","3226","至寶電","電機機械","77540","57838","59904","34.06411010062589","29.440438034188034","183554","144068","27.407890718271926","-"
"110/06/19","103/3","3227","原相","半導體業","391506","380585","309516","2.8695298028035787","26.489745279727057","1198452","910476","31.629169796897447","-"
"110/06/19","103/3","3228","金麗科","半導體業","21689","21245","22698","2.0899035067074605","-4.445325579346198","64016","67796","-5.57555017995162","-"
"110/06/19","103/3","3230","錦明","光電業","166401","144944","142370","14.803648305552489","16.879258270703097","499808","451069","10.805220487331207","-"
"110/06/19","103/3","3232","昱捷","電子通路業","68950","47007","116441","46.680281660178274","-40.78546216538848","157055","345231","-54.507271942554404","-"
"110/06/19","103/3","3234","光環","通信網路業","177921","171551","194546","3.7131815028766955","-8.545536788214612","519571","449735","15.528255528255528","-"
"110/06/19","103/3","3236","千如","電子零組件業","142972","115779","122123","23.486988141200044","17.0721321945907","414282","343518","20.599793897263027","-"
"110/06/19","103/3","3252","海灣","觀光事業","16052","33636","25710","-52.2773219169937","-37.56514974718009","54170","35420","52.936194240542065","-"
"110/06/19","103/3","3259","鑫創","半導體業","70260","44441","38227","58.097252537071626","83.79679284275512","170193","117086","45.35725876706011","-"
"110/06/19","103/3","3260","威剛","半導體業","2380965","2076947","3304264","14.637735098680901","-27.94265228202105","7232960","7640985","-5.339952898742767","-"
"110/06/19","103/3","3264","欣銓","半導體業","423525","394494","377861","7.35904728589028","12.08486718661095","1231029","1107348","11.169117567377192","-"
"110/06/19","103/3","3265","台星科","半導體業","121081","107922","97915","12.193065362020718","23.659296328448143","318557","281448","13.185028850800148","-"
"110/06/19","103/3","3268","海德威","半導體業","75394","26867","61581","180.6193471545018","22.43061983403972","136921","142099","-3.643938380987903","-"
