出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"110/07/07","110/6","1220","台榮","食品工業","272149","254687","222507","6.8562588589130975","22.310309338582606","1497626","1243188","20.46657464518641","-"
"110/07/07","110/6","1225","福懋油","食品工業","1034300","1114265","792623","-7.176479562761102","30.490788180509522","6264703","4979882","25.80022980464196","-"
"110/07/07","110/6","1231","聯華食","食品工業","738135","723277","684343","2.0542613687425426","7.860385800687667","4530760","4103744","10.40552237176588","-"
"110/07/07","110/6","1236","宏亞","食品工業","83920","98044","80724","-14.405776998082494","3.9591695158812743","822732","687064","19.746049858528462","-"
"110/07/07","110/6","1256","鮮活果汁-KY","食品工業","499954","409708","362789","22.026906967889325","37.808478206340325","2311478","1274955","81.29879093771937","109年上半年受新冠疫情影響，出貨較少"
"110/07/07","110/6","1304","台聚","塑膠工業","6053540","5665595","3952131","6.847383196292711","53.17154213764675","33943334","22214911","52.795273408927905","因市場環境影響銷售量價皆優於去年同期，故營收增加。"
"110/07/07","110/6","1305","華夏","塑膠工業","1684606","1397334","948423","20.55857797777768","77.62179955568348","9554447","5878179","62.5409331699494","109年第二季全球爆發第一波新冠肺炎疫情，致需求驟降，今年因部分PVC大廠受疫情、歲修或天災而減產，後疫情需求恢復。"
"110/07/07","110/6","1308","亞聚","塑膠工業","794147","740520","451529","7.2418030573110785","75.87951161497932","4188354","2672129","56.742208179320684","產品平均售價較去年同期提高所致"
"110/07/07","110/6","1309","台達化","塑膠工業","1864035","1827110","1276711","2.02095111952756","46.00289337211005","10103614","6524556","54.85519627695739","持續強化銷售量，銷售量較去年同期增加，且售價優於去年，故營業收入較去年同期增加。"
"110/07/07","110/6","1312","國喬","塑膠工業","1955006","2029279","1332033","-3.6600684282447116","46.76858606355849","11168803","7210570","54.8948696150235","係因主要產品之數量及價格均較去年成長"
