"","lb","p","max_overlap","median_reward_avg","avg_reward_avg","lose_count","trade_count"
"99",1,0.49,0,NA,NA,0,0
"100",1,0.5,0,NA,NA,0,0
"101",1.5,0.01,4,0.667763710863573,3.45961246755661,0,14
"102",1.5,0.02,4,0.667763710863573,3.45961246755661,0,14
"103",1.5,0.03,4,-0.525966215124419,1.36234004314332,0,13
"104",1.5,0.04,4,2.42354554624109,4.31185180450883,0,11
"105",1.5,0.05,4,2.59529203666535,3.5152654818086,0,8
"106",1.5,0.06,4,3.96512900736355,3.96512900736355,0,7
"107",1.5,0.07,4,4.65041952707426,4.65041952707426,0,7
"108",1.5,0.08,4,4.69455181725918,4.69455181725918,0,7
"109",1.5,0.09,4,4.69455181725918,4.69455181725918,0,7
"110",1.5,0.1,4,4.29970904996359,4.29970904996359,0,6
"111",1.5,0.11,4,4.29970904996359,4.29970904996359,0,6
"112",1.5,0.12,4,4.59278032878958,4.59278032878958,0,6
"113",1.5,0.13,4,4.59278032878958,4.59278032878958,0,6
"114",1.5,0.14,4,4.62457229343368,4.62457229343368,0,6
"115",1.5,0.15,4,4.6706622358351,4.6706622358351,0,6
"116",1.5,0.16,4,4.6706622358351,4.6706622358351,0,6
"117",1.5,0.17,4,4.6340190985802,4.6340190985802,0,6
"118",1.5,0.18,4,4.64231655572995,4.64231655572995,0,6
"119",1.5,0.19,4,4.64231655572995,4.64231655572995,0,6
"120",1.5,0.2,4,4.64231655572995,4.64231655572995,0,6
"121",1.5,0.21,4,4.64231655572995,4.64231655572995,0,6
"122",1.5,0.22,4,4.64231655572995,4.64231655572995,0,6
"123",1.5,0.23,4,4.99674171256092,4.99674171256092,0,6
"124",1.5,0.24,4,4.78660893514888,4.78660893514888,0,6
"125",1.5,0.25,4,4.75911374861404,4.75911374861404,0,6
"126",1.5,0.26,4,5.3478234260334,5.3478234260334,0,6
"127",1.5,0.27,4,5.3478234260334,5.3478234260334,0,6
"128",1.5,0.28,4,5.3478234260334,5.3478234260334,0,6
"129",1.5,0.29,4,5.1816540524894,5.1816540524894,0,6
"130",1.5,0.3,4,5.29248129897428,5.29248129897428,0,6
"131",1.5,0.31,4,5.23382500443089,5.23382500443089,0,6
"132",1.5,0.32,4,5.23382500443089,5.23382500443089,0,6
"133",1.5,0.33,4,4.81961642224935,4.81961642224935,0,6
"134",1.5,0.34,4,4.64542390288013,4.64542390288013,0,6
"135",1.5,0.35,4,4.64542390288013,4.64542390288013,0,6
"136",1.5,0.36,4,4.64542390288013,4.64542390288013,0,6
"137",1.5,0.37,4,4.64542390288013,4.64542390288013,0,6
"138",1.5,0.38,4,4.6424701646254,4.6424701646254,0,6
"139",1.5,0.39,4,4.6424701646254,4.6424701646254,0,6
"140",1.5,0.4,4,4.7812667868779,4.7812667868779,0,6
"141",1.5,0.41,4,4.7812667868779,4.7812667868779,0,6
"142",1.5,0.42,4,4.7812667868779,4.7812667868779,0,6
"143",1.5,0.43,4,4.81489709336943,4.81489709336943,0,6
"144",1.5,0.44,4,4.81489709336943,4.81489709336943,0,6
"145",1.5,0.45,4,4.81489709336943,4.81489709336943,0,6
"146",1.5,0.46,4,4.91470428942831,4.91470428942831,0,6
"147",1.5,0.47,4,4.31988982002234,4.31988982002234,0,6
"148",1.5,0.48,4,4.31988982002234,4.31988982002234,0,6
"149",1.5,0.49,4,4.34380559961267,4.34380559961267,0,6
"150",1.5,0.5,4,4.18014700777811,4.18014700777811,0,6
"151",2,0.01,4,5.5562102507256,6.88227183537444,0,70
"152",2,0.02,4,5.58084190935982,6.96452657859781,0,64
"153",2,0.03,4,5.83300646542707,7.6641205566523,0,56
"154",2,0.04,4,6.07770675780729,7.69916198320604,0,52
"155",2,0.05,4,6.27372017390538,7.9540729289414,0,48
"156",2,0.06,4,7.05887883666798,8.71626922757945,0,43
"157",2,0.07,4,6.31826115395503,7.98459970742966,0,41
"158",2,0.08,4,6.55466779562453,8.25746750303455,0,36
"159",2,0.09,4,4.9833675656997,7.2851014681882,0,34
"160",2,0.1,4,4.90729552100258,7.19254106263294,0,32
"161",2,0.11,4,4.7197277265812,6.1967415147184,0,32
"162",2,0.12,4,4.70154944220994,6.09841701020509,0,31
"163",2,0.13,4,5.11216956079534,6.20462168860292,0,29
"164",2,0.14,4,5.42354677905874,6.50575060684169,0,27
"165",2,0.15,4,5.33337506652086,6.49049254352421,0,27
"166",2,0.16,4,5.29865535303794,6.14435743179858,0,26
"167",2,0.17,4,5.32154014359505,6.15778482528257,0,26
"168",2,0.18,4,5.68109277402394,6.48477217171693,0,25
"169",2,0.19,4,6.03475741626794,6.80565375637526,0,25
"170",2,0.2,4,5.77753383202428,6.80801780999136,0,23
"171",2,0.21,4,5.87509567219067,6.43316656548104,0,20
"172",2,0.22,4,5.08703706499685,5.59580694086467,0,20
"173",2,0.23,4,5.0329778711103,5.53715232574811,0,19
"174",2,0.24,4,4.91630739093824,5.4694819523409,0,18
"175",2,0.25,4,4.92400801113585,5.47102207638043,0,18
"176",2,0.26,4,4.89100083612769,5.41190988626237,0,17
"177",2,0.27,4,4.91540931437255,5.42167932707408,0,17
"178",2,0.28,4,4.92268040478616,5.4020672125485,0,17
"179",2,0.29,4,4.93611686143915,5.41550366920148,0,17
"180",2,0.3,4,4.11737277999975,4.59675958776209,0,17
"181",2,0.31,4,4.38589849959954,4.87325821943645,0,17
"182",2,0.32,4,4.39685828544309,4.89366021162438,0,17
"183",2,0.33,4,4.06777691416836,4.53476213380983,0,17
"184",2,0.34,4,4.06777691416836,4.32374650880983,0,17
"185",2,0.35,4,4.06777691416836,4.32374650880983,0,17
"186",2,0.36,4,4.03492454777771,4.12706927054529,0,16
"187",2,0.37,4,4.03360685131427,4.12575157408185,0,16
"188",2,0.38,4,4.07095292795993,4.16309765072751,0,16
"189",2,0.39,4,4.07144870901981,4.1668619087184,0,16
"190",2,0.4,4,4.10186708506417,4.19728028476276,0,16
"191",2,0.41,4,2.3670063073934,2.46241950709198,0,15
"192",2,0.42,4,2.34238495439468,2.43779815409327,0,15
"193",2,0.43,4,2.34137579858189,2.44270948038359,0,15
"194",2,0.44,4,2.35884150491018,2.45095603226456,0,15
"195",2,0.45,4,2.35884150491018,2.45770485746418,0,15
"196",2,0.46,4,2.33019270304126,2.35396384647232,0,14
"197",2,0.47,4,2.33679129236043,2.3605624357915,0,14
