"","lb","p","max_overlap","median_reward_avg","avg_reward_avg","lose_count","trade_count"
"102",1.5,0.02,2,4.84671721566324,6.61381686969271,0,19
"103",1.5,0.03,2,7.27849725324033,8.01315321448814,0,17
"104",1.5,0.04,2,7.74621868071369,7.90398318552367,0,16
"105",1.5,0.05,2,7.97731426099018,8.3012357628212,0,16
"106",1.5,0.06,2,7.96674364219808,8.63686478426613,0,15
"107",1.5,0.07,2,8.05996028842106,8.69239667326321,0,15
"108",1.5,0.08,2,8.48020020889885,8.8170017670503,0,14
"109",1.5,0.09,2,8.55060109310599,8.59156033775862,0,12
"110",1.5,0.1,2,8.55060109310599,8.66826115204808,0,12
"111",1.5,0.11,2,8.63371400429061,8.91178966316443,0,12
"112",1.5,0.12,2,5.47415417768194,5.75222983655576,0,11
"113",1.5,0.13,2,5.62129276537893,5.89936842425276,0,11
"114",1.5,0.14,2,5.62129276537893,5.91531863699332,0,11
"115",1.5,0.15,2,5.62129276537893,5.91531863699332,0,11
"116",1.5,0.16,2,6.22360458148061,6.51763045309499,0,11
"117",1.5,0.17,2,6.22360458148061,6.51763045309499,0,11
"118",1.5,0.18,2,6.22360458148061,6.53704488161079,0,11
"119",1.5,0.19,2,5.4276826514861,6.48170785819581,0,11
"120",1.5,0.2,2,5.14127704526318,5.51237100617547,0,10
"121",1.5,0.21,2,4.83500050776042,4.83500050776042,0,9
"122",1.5,0.22,2,4.83500050776042,4.83500050776042,0,9
"123",1.5,0.23,2,4.9116093268133,4.9116093268133,0,9
"124",1.5,0.24,2,4.91462206290252,4.91462206290252,0,9
"125",1.5,0.25,2,4.91462206290252,4.91462206290252,0,9
"126",1.5,0.26,2,5.00064077650647,5.00064077650647,0,9
"127",1.5,0.27,2,5.00064077650647,5.00064077650647,0,9
"128",1.5,0.28,2,5.04267103139904,5.04267103139904,0,9
"129",1.5,0.29,2,5.13300118424849,5.13300118424849,0,9
"130",1.5,0.3,2,5.25440382962812,5.25440382962812,0,9
"131",1.5,0.31,2,5.35321283656966,5.35321283656966,0,9
"132",1.5,0.32,2,5.60122363718313,5.60122363718313,0,9
"133",1.5,0.33,2,5.60122363718313,5.60122363718313,0,9
"134",1.5,0.34,2,5.50147093383408,5.50147093383408,0,9
"135",1.5,0.35,2,5.4042271487345,5.4042271487345,0,9
"136",1.5,0.36,2,5.43311478604051,5.43311478604051,0,9
"137",1.5,0.37,2,4.74098948045696,4.74098948045696,0,8
"138",1.5,0.38,2,4.74098948045696,4.74098948045696,0,8
"139",1.5,0.39,2,4.74098948045696,4.74098948045696,0,8
"140",1.5,0.4,2,4.74098948045696,4.74098948045696,0,8
"141",1.5,0.41,2,4.83607220984937,4.83607220984937,0,8
"142",1.5,0.42,2,4.83607220984937,4.83607220984937,0,8
"143",1.5,0.43,2,4.88587823477978,4.88587823477978,0,8
"144",1.5,0.44,2,5.0071996129072,5.0071996129072,0,8
"145",1.5,0.45,2,5.11415207130992,5.11415207130992,0,8
"146",1.5,0.46,2,5.11415207130992,5.11415207130992,0,8
"147",1.5,0.47,2,5.03279642298998,5.03279642298998,0,8
"148",1.5,0.48,2,5.03279642298998,5.03279642298998,0,8
"149",1.5,0.49,2,5.03279642298998,5.03279642298998,0,8
"150",1.5,0.5,2,5.89430467997797,5.89430467997797,0,8
"151",2,0.01,6,9.57948355171613,9.75469959748703,0,87
"152",2,0.02,6,9.61745047769572,9.72137176475579,0,80
"153",2,0.03,6,9.75147634196868,10.0382652843732,0,60
"154",2,0.04,6,9.70448455094361,10.2203796551235,0,57
"155",2,0.05,6,10.4162633208439,10.8475351705164,0,49
"156",2,0.06,6,10.5603141762967,11.0416260931056,0,42
"157",2,0.07,6,10.3069236330406,10.9076358167393,0,39
"158",2,0.08,6,10.3329786613268,10.9623601359523,0,35
"159",2,0.09,6,9.86912002666507,10.6593023980244,0,32
"160",2,0.1,6,9.88634371354453,10.657479067533,0,31
"161",2,0.11,6,9.94350194452477,10.4164653839783,0,30
"162",2,0.12,6,10.1312124770203,10.5982777657261,0,30
"163",2,0.13,6,9.90066733131994,10.442732062474,0,29
"164",2,0.14,6,9.90066733131994,10.4449056748833,0,29
"165",2,0.15,6,9.96484315549577,10.508688445571,0,29
"166",2,0.16,6,10.0130987367781,10.5260019216175,0,29
"167",2,0.17,6,10.3280091187646,10.6602047938766,0,28
"168",2,0.18,6,10.3421446972384,10.6665858187446,0,28
"169",2,0.19,6,10.1174559175339,10.6473415686594,0,27
"170",2,0.2,6,10.0261908658785,10.5259783770715,0,27
"171",2,0.21,6,9.80257696305205,10.3947665640699,0,26
"172",2,0.22,6,9.79134416863308,9.87116966941289,0,25
"173",2,0.23,6,9.7429311456087,9.82478230082825,0,24
"174",2,0.24,6,9.7429311456087,9.82679481697913,0,24
"175",2,0.25,6,9.72565715125074,9.83107223353431,0,24
"176",2,0.26,6,9.48383459407969,9.48523219949217,0,20
"177",2,0.27,6,9.48938718491167,9.49078479032415,0,20
"178",2,0.28,6,9.43864180160377,9.43771062399537,0,20
"179",2,0.29,6,9.43017503617106,9.43601727090883,0,20
"180",2,0.3,6,9.4303427072958,9.44053189501717,0,20
"181",2,0.31,6,9.4505650154811,9.43858803603177,0,20
"182",2,0.32,6,9.45723429273929,9.44721372162031,0,20
"183",2,0.33,6,9.46819779961927,9.45093402721179,0,20
"184",2,0.34,6,9.47025059069474,9.45298681828727,0,20
"185",2,0.35,6,9.46829751556265,9.47927002213831,0,18
"186",2,0.36,6,9.55508493076352,9.56605743733918,0,18
"187",2,0.37,6,9.55761102573759,9.56661603549148,0,18
"188",2,0.38,6,9.54608132923175,9.55508633898564,0,17
"189",2,0.39,6,9.57147392547084,9.58047893522473,0,17
"190",2,0.4,6,9.58571172342264,9.58798263816704,0,17
"191",2,0.41,6,9.58232856393826,9.58666989212858,0,17
"192",2,0.42,6,9.58138144298257,9.58572277117289,0,17
"193",2,0.43,6,9.56880747390013,9.56880747390013,0,16
"194",2,0.44,6,9.57085305974872,9.57085305974872,0,16
"195",2,0.45,6,9.55815864230511,9.55815864230511,0,16
"196",2,0.46,6,9.55815864230511,9.55815864230511,0,16
"197",2,0.47,6,9.56197098622481,9.56197098622481,0,16
"198",2,0.48,6,9.57613357253427,9.57613357253427,0,16
"199",2,0.49,6,9.57562276328662,9.57562276328662,0,16
"200",2,0.5,6,9.57813158043851,9.57813158043851,0,16
"201",2.5,0.01,6,7.62972109544429,8.07335991776931,0,96
"202",2.5,0.02,6,7.57764461704298,8.22697887403044,0,93
"203",2.5,0.03,6,7.58165541153436,8.22999039033014,0,81
