出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"110/05/29","102","4","8935","邦泰","773868.00","1073831.00","1847699.00","289951.00","433137.00","723088.00","1203064.00","0.00","-85285.00","899.00","0.00","1118678.00","--","--","5933.00","1124611.00","0.00","0.00","9.30"
"110/05/29","102","4","8936","國統","4865123.00","2056242.00","6921365.00","2554783.00","143278.00","2698061.00","1868208.00","675994.00","1319262.00","164568.00","-33231.00","3994801.00","--","--","228503.00","4223304.00","0.00","1766000.00","21.59"
"110/05/29","102","4","8937","合騏","616341.00","271878.00","888219.00","72052.00","27850.00","99902.00","724788.00","1522.00","69641.00","-1292.00","-6342.00","788317.00","--","--","0.00","788317.00","0.00","660000.00","10.98"
"110/05/29","102","4","8938","明安","5252534.00","2382176.00","7634710.00","3758955.00","300860.00","4059815.00","1343427.00","704762.00","1299739.00","19883.00","0.00","3367811.00","--","--","207084.00","3574895.00","0.00","0.00","25.07"
"110/05/29","102","4","8941","關中","696429.00","1099390.00","1795819.00","1370544.00","241445.00","1611989.00","178000.00","53927.00","-50026.00","-20438.00","--","161463.00","--","--","22367.00","183830.00","0.00","0.00","9.07"
"110/05/29","102","4","8942","森鉅","4330038.00","4056257.00","8386295.00","2642434.00","29815.00","2672249.00","1621277.00","1844774.00","1234496.00","59203.00","--","4759750.00","--","--","954296.00","5714046.00","0.00","0.00","29.36"
"110/05/29","102","4","9949","琉園","581513.00","334103.00","915616.00","100279.00","63296.00","163575.00","490334.00","168261.00","131191.00","6719.00","-44464.00","752041.00","--","--","0.00","752041.00","0.00","2000000.00","15.99"
"110/05/29","102","4","9950","萬國通","1309268.00","1017514.00","2326782.00","1227173.00","395988.00","1623161.00","445200.00","48300.00","205721.00","4400.00","0.00","703621.00","--","--","0.00","703621.00","0.00","0.00","15.80"
"110/05/29","102","4","9951","皇田","1741684.00","1369337.00","3111021.00","1069533.00","456375.00","1525908.00","749000.00","3082.00","822755.00","10276.00","0.00","1585113.00","--","--","--","1585113.00","0.00","0.00","21.16"
"110/05/29","102","4","9960","邁達康","727174.00","27503.00","754677.00","239389.00","49977.00","289366.00","335925.00","35133.00","123883.00","-29630.00","0.00","465311.00","--","--","0.00","465311.00","0.00","0.00","13.85"
"110/05/29","102","4","9962","有益","724419.00","400244.00","1124663.00","61927.00","17357.00","79284.00","902203.00","8087.00","135089.00","0.00","0.00","1045379.00","--","--","0.00","1045379.00","0.00","0.00","11.59"
