出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"110/06/19","102/5","1258","其祥-KY","食品工業","102897","98504","112192","4.459717371883375","-8.284904449515118","526238","565583","-6.956538651267807","-"
"110/06/19","102/5","1259","安心","觀光事業","366377","324791","357920","12.803926217167348","2.3628185069289227","1724224","1724640","-0.024120975971797014","-"
"110/06/19","102/5","1336","台翰","電子零組件業","159762","145650","173852","9.688980432543769","-8.104594712744174","797371","845079","-5.645389365964602","-"
"110/06/19","102/5","1565","精華","生技醫療業","431153","413066","310860","4.378719139314298","38.696841021681784","1966317","1527720","28.70925300447726","-"
"110/06/19","102/5","1569","濱川","電腦及週邊設備業","247299","210568","364586","17.443771133315604","-32.1699132714915","1245581","1446901","-13.913875240945995","-"
"110/06/19","102/5","1570","力肯","電機機械","54648","63466","28534","-13.894053508965431","91.5188897455667","249304","167202","49.10347962344948","-"
"110/06/19","102/5","1580","新麥","電機機械","346497","304727","308907","13.707351170063696","12.168710971263195","1307989","1248466","4.7676909102851015","-"
"110/06/19","102/5","1584","精剛","其他","83572","124216","74032","-32.72042248985638","12.88631942943592","491379","384802","27.696581618598657","-"
"110/06/19","102/5","1586","和勤","電機機械","108595","116706","120987","-6.949942590783679","-10.242422739633184","517765","482194","7.376906390373999","-"
"110/06/19","102/5","1591","駿吉-KY","電機機械","58108","54504","60487","6.612358725965067","-3.9330765288409077","278026","273952","1.4871218315617334","-"
"110/06/19","102/5","1593","祺驊","生技醫療業","58623","56875","65656","3.0734065934065935","-10.711892287072011","299468","316108","-5.2640236881065965","-"
"110/06/19","102/5","1595","川寶","電子零組件業","121027","104195","105454","16.154326023321655","14.76757638401578","504515","423954","19.002297419059616","-"
"110/06/19","102/5","1599","宏佳騰","電機機械","184403","196407","149456","-6.111798459321714","23.382801627234773","685194","678725","0.9531106118089064","-"
"110/06/19","102/5","1742","台蠟","化學工業","89891","132792","141129","-32.30691607928188","-36.305791155609406","684283","600037","14.040134191724844","-"
"110/06/19","102/5","1752","南光","生技醫療業","82632","77591","94251","6.496887525615084","-12.327720660788746","387656","397110","-2.380700561557251","-"
"110/06/19","102/5","1777","生泰","生技醫療業","52676","52330","40777","0.6611886107395375","29.180665571277927","231566","190234","21.726925786137073","-"
"110/06/19","102/5","1781","合世","生技醫療業","100579","129643","69111","-22.418487693126508","45.5325490876995","621630","261427","137.78339651221947","-"
"110/06/19","102/5","1784","訊聯","生技醫療業","58461","56257","68581","3.9177346819062517","-14.756273603476181","286447","327241","-12.466041846834596","-"
"110/06/19","102/5","1785","光洋科","其他電子業","1976017","3259605","4406103","-39.37863636851704","-55.152727932143215","14770003","31444574","-53.02845254001533","-"
"110/06/19","102/5","1788","杏昌","生技醫療業","215408","212466","211231","1.3846921389775306","1.9774559605360955","1076043","999534","7.654466981613432","-"
"110/06/19","102/5","1799","易威","生技醫療業","12863","7787","7528","65.18556568640041","70.86875664187035","42211","40406","4.467158342820373","-"
"110/06/19","102/5","1813","寶利徠","生技醫療業","41626","41790","41914","-0.3924383823881311","-0.6871212482702677","208210","216045","-3.626559281631142","-"
"110/06/19","102/5","1815","富喬","電子零組件業","356346","282451","323915","26.16205996792364","10.012194557214084","1745048","1950871","-10.550313167810685","-"
"110/06/19","102/5","2035","唐榮公司","鋼鐵工業","1446515","1348426","1628966","7.2743331855066575","-11.200417933830417","7688407","8285766","-7.209460175438215","-"
"110/06/19","102/5","2061","風青","電器電纜","198139","194557","193845","1.8411056913912118","2.2151719157058474","917921","908663","1.0188595772029894","-"
"110/06/19","102/5","2063","世鎧","鋼鐵工業","41208","54648","78810","-24.593763724198507","-47.71221926151504","225820","258548","-12.658384516608134","-"
"110/06/19","102/5","2064","晉椿","鋼鐵工業","253961","236831","299445","7.233005814272625","-15.189433785837132","1221328","1422979","-14.171045391393688","-"
"110/06/19","102/5","2065","世豐","鋼鐵工業","103955","94490","125147","10.016933008784","-16.933685985281308","517314","575707","-10.14283307307363","-"
"110/06/19","102/5","2066","世德","電機機械","84864","97996","78088","-13.400546961100453","8.67738961172011","403597","400368","0.8065080126283819","-"
"110/06/19","102/5","2067","嘉鋼","電機機械","75445","70954","83609","6.329452884967726","-9.764499037184992","382954","417732","-8.325433531546542","10205及10105自結數"
"110/06/19","102/5","2221","大甲","其他","69293","94083","50107","-26.3490747531435","38.29005927315545","336301","274277","22.613635120699147","-"
"110/06/19","102/5","2230","泰茂","電機機械","34537","30537","32272","13.098863673576318","7.018468021814576","162125","176361","-8.072079427991449","-"
"110/06/19","102/5","2235","謚源","電機機械","58314","57875","59160","0.7585313174946005","-1.4300202839756593","259569","275376","-5.740151647202371","-"
"110/06/19","102/5","2596","綠意","建材營造","21139","11780","20354","79.44821731748726","3.8567357767514983","343786","221259","55.37718239710023","-"
"110/06/19","102/5","2640","大車隊","其他","96599","82789","74475","16.680960030921984","29.706612957368243","416307","353530","17.75719175176081","-"
"110/06/19","102/5","2641","正德","航運業","63325","63024","48864","0.4775958365067276","29.594384413883432","271640","287865","-5.636322581765758","-"
