出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"110/06/19","102/6","1258","其祥-KY","食品工業","99434","102897","104462","-3.3655014237538508","-4.8132335203231795","625741","670045","-6.612093217619712","-"
"110/06/19","102/6","1259","安心","觀光事業","410971","366377","386268","12.171615576305282","6.39530067207224","2135195","2110908","1.1505475368893385","-"
"110/06/19","102/6","1336","台翰","電子零組件業","158683","159762","173526","-0.6753796271954532","-8.553761395986768","956054","1018605","-6.140849495142867","-"
"110/06/19","102/6","1565","精華","生技醫療業","443981","431153","321523","2.975277917583781","38.08685537271051","2410298","1849243","30.3397119794424","-"
"110/06/19","102/6","1569","濱川","電腦及週邊設備業","209166","247299","330152","-15.419795470260697","-36.64554508226514","1454747","1777053","-18.137106771716994","-"
"110/06/19","102/6","1570","力肯","電機機械","44400","54648","39047","-18.75274483970136","13.7091197787282","293705","206249","42.40311468176815","-"
"110/06/19","102/6","1580","新麥","電機機械","306847","346497","304498","-11.443100517464798","0.7714336383161794","1619359","1554341","4.182994593850384","-"
"110/06/19","102/6","1584","精剛","其他","103510","83572","71442","23.857272770784473","44.88676128887769","594889","456244","30.38834483302794","-"
"110/06/19","102/6","1586","和勤","電機機械","94692","108595","106186","-12.802615221695289","-10.824402463601604","612456","588379","4.092090302339138","-"
"110/06/19","102/6","1591","駿吉-KY","電機機械","54334","58108","62714","-6.4948027810284295","-13.362247663998469","332360","336666","-1.2790124336879876","-"
"110/06/19","102/6","1593","祺驊","生技醫療業","51622","58623","59538","-11.942411681421968","-13.295710302663846","351090","375646","-6.537005585045495","-"
"110/06/19","102/6","1595","川寶","電子零組件業","178080","121027","159006","47.14072066563659","11.995773744387003","682595","582960","17.09122409770825","-"
"110/06/19","102/6","1599","宏佳騰","電機機械","134274","184403","117016","-27.184481814287185","14.748410473781362","819468","795741","2.981749086700321","-"
"110/06/19","102/6","1742","台蠟","化學工業","124605","89891","130548","38.617881656673084","-4.552348561448663","808888","730585","10.717849394663181","-"
"110/06/19","102/6","1752","南光","生技醫療業","78285","82632","67582","-5.2606738309613705","15.837057204581102","465941","464692","0.2687801812813649","-"
"110/06/19","102/6","1777","生泰","生技醫療業","39413","52676","36542","-25.178449388715922","7.856712823600241","270979","226776","19.49192154372597","-"
"110/06/19","102/6","1781","合世","生技醫療業","116384","100579","192778","15.714015848238699","-39.627965846725246","738014","454205","62.48478110104468","-"
"110/06/19","102/6","1784","訊聯","生技醫療業","64174","58461","69041","9.772326850378885","-7.049434394055706","350621","396282","-11.522350245532222","-"
"110/06/19","102/6","1785","光洋科","其他電子業","2623312","1976017","5514735","32.757562308421434","-52.430860231724644","17393315","36959309","-52.93928520146304","-"
"110/06/19","102/6","1788","杏昌","生技醫療業","236922","215408","221863","9.98755849364926","6.787522029360461","1312965","1221397","7.496989103461037","-"
"110/06/19","102/6","1799","易威","生技醫療業","8634","12863","6172","-32.87724481069735","39.8898250162022","50844","46579","9.156486828828442","-"
"110/06/19","102/6","1813","寶利徠","生技醫療業","38957","41626","34008","-6.411857973382021","14.552458245118796","247167","250053","-1.1541553190723566","-"
"110/06/19","102/6","1815","富喬","電子零組件業","349781","356346","365007","-1.8423105633288994","-4.171426849348094","2094829","2315878","-9.544932850521487","-"
"110/06/19","102/6","2035","唐榮公司","鋼鐵工業","1197565","1446515","1146535","-17.210329654376206","4.450801763574597","8885972","9432301","-5.792107355352633","-"
"110/06/19","102/6","2061","風青","電器電纜","160323","198139","172464","-19.08559142823977","-7.039730030615085","1078244","1081127","-0.2666661733542868","-"
"110/06/19","102/6","2063","世鎧","鋼鐵工業","43427","41208","73363","5.384876722966414","-40.80531057890217","269247","331911","-18.8797599356454","-"
"110/06/19","102/6","2064","晉椿","鋼鐵工業","219561","253961","272569","-13.545386890113049","-19.44755272976751","1440889","1695548","-15.019274004628592","-"
"110/06/19","102/6","2065","世豐","鋼鐵工業","98184","103955","118577","-5.551440527151171","-17.198107558801453","615318","694284","-11.373731786992067","-"
"110/06/19","102/6","2066","世德","電機機械","92156","84864","77339","8.592571644042232","19.158509936771875","495753","477707","3.777629383701725","-"
"110/06/19","102/6","2067","嘉鋼","電機機械","81175","75445","79730","7.594936708860759","1.812366737739872","464129","497462","-6.700612308075793","10206及10106自結數"
"110/06/19","102/6","2221","大甲","其他","41634","69293","69254","-39.91600883206096","-39.88217287088111","377935","343531","10.014816712319995","-"
"110/06/19","102/6","2230","泰茂","電機機械","32654","34537","41776","-5.452123809248053","-21.8355036384527","194779","218107","-10.69566772272325","-"
"110/06/19","102/6","2235","謚源","電機機械","43532","58314","47339","-25.348972802414515","-8.041994972432878","303101","322702","-6.0740249518131275","-"
"110/06/19","102/6","2596","綠意","建材營造","18157","21139","2765","-14.106627560433322","556.6726943942134","361944","224024","61.56483233939221","-"
"110/06/19","102/6","2640","大車隊","其他","99396","96599","79918","2.8954751084379757","24.372481793838684","516298","433448","19.114172865026486","-"
"110/06/19","102/6","2641","正德","航運業","56705","63325","54989","-10.454007106198183","3.120624124824965","328345","342854","-4.231830458445869","-"
"110/06/19","102/6","2718","晶悅","觀光事業","21362","20983","21594","1.8062240861649907","-1.0743725108826525","125982","121583","3.6181045047416167","-"
"110/06/19","102/6","2719","燦星旅","觀光事業","291366","182320","222794","59.81022378236069","30.778207671660816","1431257","1321621","8.2955703639697","-"
"110/06/19","102/6","2724","富驛-KY","觀光事業","83349","86031","82134","-3.1174809080447745","1.4792899408284024","434692","351657","23.61249740514194","-"
"110/06/19","102/6","2726","雅茗-KY","觀光事業","132896","114926","107232","15.636148478151158","23.93315428230379","684537","616153","11.098542082891749","-"
"110/06/19","102/6","2729","瓦城","觀光事業","209986","191287","159706","9.775363720482835","31.48284973639062","1101732","947248","16.308717463642044","-"
"110/06/19","102/6","2732","六角","觀光事業","144227","98617","105653","46.249632416317674","36.51008490057074","533755","440979","21.0386435635257","-"
"110/06/19","102/6","2734","易飛網","觀光事業","138184","110823","111530","24.68891836532128","23.898502645028245","708902","588063","20.548648699203998","-"
"110/06/19","102/6","2916","滿心","貿易百貨","105431","91440","109618","15.300743657042869","-3.819628163257859","643795","726955","-11.439497630527336","-"
"110/06/19","102/6","2924","東凌-KY","貿易百貨","107160","120569","104408","-11.121432540702834","2.6358133476361965","724801","711364","1.8889063826676638","-"
"110/06/19","102/6","2926","誠品生活","文化創意業","263213","265111","232446","-0.7159265364319096","13.236192492019653","1605507","1438135","11.638128548432519","專櫃銷貨收入採淨額法認列、工程收入採完工比例法認列，101年影響數為$581,440(當月減少)及$3,422,462(累計減少)"
"110/06/19","102/6","3064","泰偉","文化創意業","8934","29562","57282","-69.77877004262228","-84.40347753220907","142179","310632","-54.22911998763811","-"
"110/06/19","102/6","3066","李洲","光電業","47792","43024","43796","11.082186686500558","9.124120924285323","263307","254582","3.4271865253631444","-"
"110/06/19","102/6","3067","全域","其他電子業","19037","36188","30850","-47.39416381120814","-38.29173419773095","196378","233080","-15.746524798352498","-"
"110/06/19","102/6","3071","協禧","電腦及週邊設備業","246776","269475","282072","-8.423415901289545","-12.513117218298873","1377469","1651239","-16.579671386153063","-"
