出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"110/06/19","103/12","1258","其祥-KY","食品工業","112611","108547","105053","3.7440002948031728","7.194463746870627","1309400","1259049","3.999129501711212","-"
"110/06/19","103/12","1259","安心","觀光事業","330222","324876","331302","1.6455509178886714","-0.3259865621094953","4254165","4304059","-1.1592313209461116","-"
"110/06/19","103/12","1264","德麥","食品工業","381180","301906","198175","26.257841844812624","92.34514948908793","3483587","2031448","71.48295206178057","-"
"110/06/19","103/12","1336","台翰","電子零組件業","184163","152673","232268","20.625781899877516","-20.71098902991372","2091402","2141810","-2.353523421778776","-"
"110/06/19","103/12","1565","精華","生技醫療業","451549","453247","483466","-0.3746301685394498","-6.601705187127947","5411325","5222162","3.6223119849594863","-"
"110/06/19","103/12","1569","濱川","電腦及週邊設備業","252198","255937","227620","-1.460906394933128","10.797820929619542","2636673","2653148","-0.6209604590471395","-"
"110/06/19","103/12","1570","力肯","電機機械","48251","38682","50486","24.737604053564965","-4.426969853028562","540594","614610","-12.042758822668034","-"
"110/06/19","103/12","1580","新麥","電機機械","465186","433177","449901","7.389358160751841","3.3974140977681757","4304201","3950537","8.952301927560734","-"
"110/06/19","103/12","1584","精剛","其他","99503","91949","93220","8.215423767523301","6.73996996352714","1114403","1113957","0.040037452074002854","-"
"110/06/19","103/12","1586","和勤","電機機械","160583","150629","131559","6.608289240451706","22.06158453621569","1676833","1323213","26.724344455503385","-"
"110/06/19","103/12","1591","駿吉-KY","電機機械","62621","61517","54885","1.7946258757741762","14.094925753848957","724821","634873","14.167872944667673","-"
"110/06/19","103/12","1593","祺驊","生技醫療業","81903","79495","73054","3.029121328385433","12.11295753825937","908124","822399","10.423772402446987","-"
"110/06/19","103/12","1595","川寶","電子零組件業","72589","79801","64193","-9.037480733324143","13.079307712678952","1322461","1150850","14.911673980101664","-"
"110/06/19","103/12","1599","宏佳騰","電機機械","107377","233527","130150","-54.019449571141664","-17.497502881290817","2412662","2135075","13.00127630176926","-"
"110/06/19","103/12","1742","台蠟","化學工業","93513","44177","127699","111.67802250039614","-26.770765628548382","1176348","1551356","-24.172917112513183","-"
"110/06/19","103/12","1752","南光","生技醫療業","111504","127993","106059","-12.882735774612675","5.133934885299691","1276783","1012924","26.04923962705988","-"
"110/06/19","103/12","1777","生泰","生技醫療業","49082","48558","35563","1.0791218748712879","38.01422827095577","609298","502034","21.365883585573886","-"
"110/06/19","103/12","1781","合世","生技醫療業","36860","47790","82763","-22.87089349236242","-55.463190072858644","618528","1344645","-54.0006470109211","-"
