出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"110/05/29","103","4","3527","聚積","2147221.00","1415974.00","731247.00","-2233.00","--","733480.00","550970.00","--","182510.00","40588.00","223098.00","39442.00","183656.00","--","--","183656.00","7298.00","--","190954.00","180506.00","--","3150.00","187804.00","--","3150.00","5.53"
"110/05/29","103","4","3529","力旺","1003977.00","0.00","1003977.00","--","--","1003977.00","540321.00","--","463656.00","12843.00","476499.00","57930.00","418569.00","--","--","418569.00","1080.00","--","419649.00","418569.00","--","0.00","419649.00","--","0.00","5.52"
"110/05/29","103","4","3531","先益","1958665.00","1637159.00","321506.00","--","--","321506.00","300726.00","--","20780.00","25972.00","46752.00","23893.00","22859.00","--","--","22859.00","82026.00","--","104885.00","22893.00","--","-34.00","104919.00","--","-34.00","0.37"
"110/05/29","103","4","3537","堡達","2251821.00","2005370.00","246451.00","0.00","0.00","246451.00","178985.00","0.00","67466.00","25832.00","93298.00","19357.00","73941.00","0.00","--","73941.00","4950.00","--","78891.00","73941.00","--","--","78891.00","--","--","1.52"
"110/05/29","103","4","3540","曜越","2929361.00","2029263.00","900098.00","--","--","900098.00","865213.00","547.00","35432.00","3841.00","39273.00","8644.00","30629.00","--","--","30629.00","33559.00","--","64188.00","35474.00","--","-4845.00","69033.00","--","-4845.00","0.55"
"110/05/29","103","4","3541","西柏","1522290.00","929841.00","592449.00","1498.00","--","590951.00","283193.00","760.00","308518.00","38157.00","346675.00","55923.00","290752.00","0.00","--","290752.00","-9339.00","--","281413.00","290752.00","--","--","281413.00","--","--","7.60"
"110/05/29","103","4","3546","宇峻","736389.00","72538.00","663851.00","--","--","663851.00","659086.00","--","4765.00","18827.00","23592.00","17382.00","6210.00","--","--","6210.00","120.00","--","6330.00","6119.00","--","91.00","7007.00","--","-677.00","0.18"
"110/05/29","103","4","3548","兆利","3732559.00","2992211.00","740348.00","--","--","740348.00","600206.00","--","140142.00","72827.00","212969.00","45122.00","167847.00","--","--","167847.00","41924.00","--","209771.00","170645.00","--","-2798.00","212569.00","--","-2798.00","3.38"
"110/05/29","103","4","3551","世禾","1534975.00","965044.00","569931.00","--","--","569931.00","239816.00","--","330115.00","23942.00","354057.00","67329.00","286728.00","--","--","286728.00","29575.00","--","316303.00","282394.00","--","4334.00","309605.00","--","6698.00","4.91"
"110/05/29","103","4","3552","同致","5141782.00","3564244.00","1577538.00","--","--","1577538.00","920002.00","--","657536.00","42617.00","700153.00","224325.00","475828.00","--","--","475828.00","85454.00","--","561282.00","475828.00","--","--","561282.00","--","--","5.76"
"110/05/29","103","4","3555","重鵬","334793.00","247114.00","87679.00","--","--","87679.00","405296.00","--","-317617.00","2456.00","-315161.00","3248.00","-318409.00","--","--","-318409.00","0.00","--","-318409.00","-318409.00","--","--","-318409.00","--","--","-7.50"
"110/05/29","103","4","3556","禾瑞亞","1010968.00","393624.00","617344.00","--","--","617344.00","368455.00","--","248889.00","22069.00","270958.00","33911.00","237047.00","--","--","237047.00","940.00","--","237987.00","239706.00","--","-2659.00","239959.00","--","-1972.00","4.49"
"110/05/29","103","4","3558","神準","6183802.00","4393820.00","1789982.00","--","--","1789982.00","1106842.00","--","683140.00","54158.00","737298.00","125519.00","611779.00","--","--","611779.00","14919.00","--","626698.00","611779.00","--","--","626698.00","--","--","12.63"
"110/05/29","103","4","3564","其陽","1013690.00","728981.00","284709.00","--","--","284709.00","215964.00","--","68745.00","20215.00","88960.00","14442.00","74518.00","--","--","74518.00","4320.00","--","78838.00","74518.00","--","--","78838.00","--","--","3.65"
"110/05/29","103","4","3567","逸昌","379731.00","278801.00","100930.00","--","--","100930.00","63493.00","--","37437.00","3600.00","41037.00","4866.00","36171.00","--","--","36171.00","9.00","--","36180.00","--","--","--","--","--","--","1.02"
"110/05/29","103","4","3570","大塚","874252.00","503872.00","370380.00","--","--","370380.00","252732.00","--","117648.00","272.00","117920.00","28430.00","89490.00","--","--","89490.00","4846.00","--","94336.00","89490.00","--","--","94336.00","--","--","5.23"
"110/05/29","103","4","3577","泓格","756910.00","340468.00","416442.00","--","--","416442.00","313867.00","2607.00","105182.00","8014.00","113196.00","8651.00","104545.00","--","--","104545.00","2498.00","--","107043.00","104545.00","--","--","107043.00","--","--","2.39"
"110/05/29","103","4","3580","友威科","575832.00","470998.00","104834.00","--","--","104834.00","154891.00","--","-50057.00","-65430.00","-115487.00","-1016.00","-114471.00","--","--","-114471.00","27000.00","--","-87471.00","-114471.00","--","--","-87471.00","--","--","-2.29"
"110/05/29","103","4","3581","博磊","880312.00","571066.00","309246.00","--","--","309246.00","239793.00","--","69453.00","41982.00","111435.00","18454.00","92981.00","--","--","92981.00","4608.00","--","97589.00","92981.00","--","0.00","97589.00","--","0.00","2.04"
"110/05/29","103","4","3587","閎康","1056018.00","615271.00","440747.00","0.00","0.00","440747.00","177344.00","--","263403.00","7579.00","270982.00","61410.00","209572.00","--","--","209572.00","7443.00","--","217015.00","209572.00","0.00","0.00","217015.00","0.00","0.00","4.54"
"110/05/29","103","4","3594","磐儀","1458121.00","897555.00","560566.00","--","--","560566.00","480445.00","--","80121.00","27645.00","107766.00","18558.00","89208.00","--","--","89208.00","9713.00","--","98921.00","97476.00","--","-8268.00","107180.00","--","-8259.00","2.02"
"110/05/29","103","4","3597","映興","782943.00","604908.00","178035.00","--","--","178035.00","146002.00","--","32033.00","12671.00","44704.00","25535.00","19169.00","--","--","19169.00","13366.00","--","32535.00","19166.00","--","3.00","32157.00","--","378.00","0.61"
"110/05/29","103","4","3609","東林","825735.00","587383.00","238352.00","--","--","238352.00","273060.00","--","-34708.00","19841.00","-14867.00","5041.00","-19908.00","--","--","-19908.00","3996.00","--","-15912.00","-19929.00","--","21.00","-15928.00","--","16.00","-0.66"
"110/05/29","103","4","3611","鼎翰","2440687.00","1359199.00","1081488.00","--","--","1081488.00","444767.00","--","636721.00","27337.00","664058.00","158405.00","505653.00","--","--","505653.00","28159.00","--","533812.00","505653.00","--","--","533812.00","--","--","14.66"
"110/05/29","103","4","3615","安可","693402.00","686988.00","6414.00","--","--","6414.00","52553.00","--","-46139.00","-14110.00","-60249.00","3117.00","-63366.00","--","--","-63366.00","1015.00","--","-62351.00","--","--","--","--","--","--","-0.90"
"110/05/29","103","4","3623","富晶通","1166397.00","808953.00","357444.00","--","--","357444.00","90143.00","--","267301.00","10102.00","277403.00","47515.00","229888.00","--","--","229888.00","303.00","--","230191.00","--","--","--","--","--","--","3.95"
"110/05/29","103","4","3624","光頡","1437079.00","1015124.00","421955.00","--","--","421955.00","326039.00","--","95916.00","82902.00","178818.00","30723.00","148095.00","--","--","148095.00","2661.00","--","150756.00","148846.00","--","-751.00","151427.00","--","-671.00","1.32"
