出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"110/06/19","105/1","1258","其祥-KY","食品工業","210161","191718","112536","9.619858333594133","86.75001777209071","210161","112536","86.75001777209071","毛雞及雛雞銷售增加"
"110/06/19","105/1","1259","安心","觀光事業","370840","359126","341286","3.2618078334623504","8.659599280368957","370840","341286","8.659599280368957","-"
"110/06/19","105/1","1264","德麥","食品工業","424951","408297","402791","4.07889355052817","5.501612498789695","424951","402791","5.501612498789695","-"
"110/06/19","105/1","1268","漢來美食","觀光事業","317424","267841","252294","18.51210232936705","25.815120454707603","317424","252294","25.815120454707603","-"
"110/06/19","105/1","1336","台翰","電子零組件業","188008","192008","186961","-2.083246531394525","0.5600098416247239","188008","186961","0.5600098416247239","-"
"110/06/19","105/1","1565","精華","生技醫療業","539637","555401","454478","-2.838309617735654","18.737760683685458","539637","454478","18.737760683685458","-"
"110/06/19","105/1","1569","濱川","電腦及週邊設備業","187254","191569","233834","-2.2524521190798095","-19.92011426909688","187254","233834","-19.92011426909688","-"
"110/06/19","105/1","1570","力肯","電機機械","65790","50129","51389","31.241397195236292","28.023506976201134","65790","51389","28.023506976201134","-"
"110/06/19","105/1","1580","新麥","電機機械","338688","424010","384225","-20.12263861701375","-11.851649424165528","338688","384225","-11.851649424165528","-"
"110/06/19","105/1","1584","精剛","其他","60938","82327","92281","-25.980541013276326","-33.96473813677788","60938","92281","-33.96473813677788","-"
"110/06/19","105/1","1586","和勤","電機機械","186846","189759","149124","-1.5351050543057245","25.29572704594834","186846","149124","25.29572704594834","-"
"110/06/19","105/1","1591","駿吉-KY","電機機械","37784","33005","72372","14.479624299348584","-47.791963742883986","37784","72372","-47.791963742883986","-"
"110/06/19","105/1","1593","祺驊","生技醫療業","74014","69520","82342","6.464326812428078","-10.11391513443929","74014","82342","-10.11391513443929","-"
"110/06/19","105/1","1595","川寶","電子零組件業","56420","56349","73845","0.12600046141014037","-23.59672286546144","56420","73845","-23.59672286546144","-"
"110/06/19","105/1","1599","宏佳騰","電機機械","205661","122701","152007","67.61151090863156","35.297058688086736","205661","152007","35.297058688086736","-"
"110/06/19","105/1","1742","台蠟","化學工業","51551","54265","44913","-5.001382106330047","14.779685169104713","51551","44913","14.779685169104713","-"
"110/06/19","105/1","1752","南光","生技醫療業","125256","137164","144647","-8.681578256685428","-13.405739489930658","125256","144647","-13.405739489930658","-"
"110/06/19","105/1","1777","生泰","生技醫療業","69166","58965","51511","17.30009327567201","34.27423268816369","69166","51511","34.27423268816369","-"
"110/06/19","105/1","1781","合世","生技醫療業","39169","46428","55513","-15.634961661066598","-29.44175238232486","39169","55513","-29.44175238232486","-"
"110/06/19","105/1","1784","訊聯","生技醫療業","51272","50793","47476","0.9430433327427008","7.995618838992333","51272","47476","7.995618838992333","-"
"110/06/19","105/1","1785","光洋科","其他電子業","2767569","3990589","7351922","-30.647606155382075","-62.35584381880004","2767569","7351922","-62.35584381880004","主要係LBMA黃金鑄錠出貨減少"
"110/06/19","105/1","1788","杏昌","生技醫療業","229798","279655","196151","-17.82803811839588","17.153621444703315","229798","196151","17.153621444703315","-"
"110/06/19","105/1","1796","金穎生技","食品工業","42263","46090","29669","-8.303319592102408","42.448346759243655","42263","29669","42.448346759243655","-"
"110/06/19","105/1","1799","易威","生技醫療業","16286","26503","55470","-38.55035279025016","-70.6399855777898","16286","55470","-70.6399855777898","本月原料藥業務減少出貨"
"110/06/19","105/1","1813","寶利徠","生技醫療業","37563","24256","38648","54.86065303430079","-2.807389774373836","37563","38648","-2.807389774373836","-"
"110/06/19","105/1","1815","富喬","電子零組件業","436988","323417","409962","35.11596483796461","6.592318312428957","436988","409962","6.592318312428957","-"
"110/06/19","105/1","2035","唐榮公司","鋼鐵工業","794612","831972","1416366","-4.49053573918353","-43.89783431683618","794612","1416366","-43.89783431683618","-"
