出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"110/05/29","104","4","1258","其祥-KY","960478.00","601562.00","1562040.00","466538.00","319678.00","786216.00","346057.00","139056.00","313831.00","-66526.00","0.00","732418.00","0.00","--","43406.00","775824.00","0.00","0.00","0.00","21.16"
"110/05/29","104","4","1259","安心","2114734.00","496059.00","2610793.00","922735.00","30417.00","953152.00","323895.00","809816.00","477036.00","-6828.00","--","1603919.00","--","--","53722.00","1657641.00","0.00","0.00","0.00","49.52"
"110/05/29","104","4","1264","德麥","2156152.00","790905.00","2947057.00","622247.00","42219.00","664466.00","306327.00","737569.00","934440.00","833.00","--","1979169.00","--","--","303422.00","2282591.00","0.00","0.00","0.00","64.61"
"110/05/29","104","4","1268","漢來美食","1411018.00","1024286.00","2435304.00","1228102.00","143939.00","1372041.00","320000.00","572677.00","248541.00","-77955.00","--","1063263.00","--","--","--","1063263.00","--","0.00","0.00","33.23"
"110/05/29","104","4","1336","台翰","1058727.00","1659228.00","2717955.00","1103683.00","223842.00","1327525.00","627532.00","819780.00","-94202.00","37320.00","0.00","1390430.00","--","--","--","1390430.00","--","0.00","0.00","22.16"
"110/05/29","104","4","1565","精華","3963508.00","2599292.00","6562800.00","1367411.00","601529.00","1968940.00","504165.00","526000.00","3555483.00","8212.00","--","4593860.00","--","--","--","4593860.00","0.00","0.00","0.00","91.12"
"110/05/29","104","4","1569","濱川","2152809.00","2503211.00","4656020.00","2292147.00","391624.00","2683771.00","937847.00","681949.00","209418.00","143035.00","--","1972249.00","--","--","--","1972249.00","0.00","0.00","0.00","21.03"
"110/05/29","104","4","1570","力肯","510391.00","270346.00","780737.00","157826.00","13487.00","171313.00","515008.00","--","93934.00","482.00","--","609424.00","--","--","0.00","609424.00","0.00","0.00","0.00","11.83"
"110/05/29","104","4","1580","新麥","2013955.00","914955.00","2928910.00","867691.00","202947.00","1070638.00","485316.00","74811.00","1185912.00","48286.00","--","1794325.00","--","--","63947.00","1858272.00","0.00","0.00","0.00","36.97"
"110/05/29","104","4","1584","精剛","751996.00","2273153.00","3025149.00","855391.00","880941.00","1736332.00","1024705.00","403143.00","-112079.00","-26952.00","0.00","--","--","--","--","1288817.00","--","0.00","0.00","12.58"
"110/05/29","104","4","1586","和勤","1503300.00","1110217.00","2613517.00","1131991.00","487969.00","1619960.00","451063.00","229971.00","296354.00","31722.00","-15553.00","993557.00","--","--","0.00","993557.00","0.00","0.00","776000.00","22.41"
"110/05/29","104","4","1591","駿吉-KY","213752.00","417041.00","630793.00","199379.00","100063.00","299442.00","301498.00","22159.00","112339.00","-104645.00","--","331351.00","--","--","0.00","331351.00","0.00","0.00","0.00","10.99"
"110/05/29","104","4","1593","祺驊","717115.00","320692.00","1037807.00","154267.00","72247.00","226514.00","303006.00","282451.00","211701.00","11114.00","0.00","808272.00","--","--","3021.00","811293.00","0.00","0.00","0.00","26.68"
