出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"110/05/29","102","4","1258","其祥-KY","1259014.00","944669.00","314345.00","--","--","314345.00","244008.00","0.00","70337.00","2987.00","73324.00","15547.00","57777.00","--","--","57777.00","-12613.00","--","45164.00","57777.00","--","0.00","45164.00","--","0.00","1.70"
"110/05/29","102","4","1259","安心","4304908.00","3263396.00","1041512.00","--","--","1041512.00","1021331.00","--","20181.00","23382.00","43563.00","19791.00","23772.00","--","--","23772.00","4533.00","--","28305.00","79250.00","--","-55478.00","76563.00","--","-48258.00","2.45"
"110/05/29","102","4","1264","德麥","2031464.00","1282052.00","749412.00","--","--","749412.00","384184.00","--","365228.00","9242.00","374470.00","86631.00","287839.00","--","--","287839.00","458.00","--","288297.00","281227.00","--","6612.00","281941.00","--","6356.00","12.02"
"110/05/29","102","4","1336","台翰","2115465.00","1915615.00","199850.00","--","--","199850.00","191514.00","--","8336.00","3465.00","11801.00","5554.00","6247.00","--","--","6247.00","44117.00","--","50364.00","6247.00","--","--","50364.00","--","--","0.10"
"110/05/29","102","4","1565","精華","5222162.00","2929309.00","2292853.00","--","--","2292853.00","519180.00","--","1773673.00","69588.00","1843261.00","245023.00","1598238.00","--","--","1598238.00","-1775.00","--","1596463.00","1598238.00","--","--","1596463.00","--","--","31.70"
"110/05/29","102","4","1569","濱川","2651204.00","2432076.00","219128.00","--","--","219128.00","252953.00","--","-33825.00","-17009.00","-50834.00","-10230.00","-40604.00","--","--","-40604.00","110862.00","--","70258.00","-40604.00","--","--","70258.00","--","--","-0.49"
"110/05/29","102","4","1570","力肯","610315.00","467808.00","142507.00","--","--","142507.00","65365.00","--","77142.00","28434.00","105576.00","23789.00","81787.00","--","--","81787.00","664.00","--","82451.00","81787.00","--","--","82451.00","--","--","1.59"
"110/05/29","102","4","1580","新麥","3950328.00","2411695.00","1538633.00","--","--","1538633.00","885106.00","--","653527.00","11173.00","664700.00","153416.00","511284.00","--","--","511284.00","55682.00","--","566966.00","495868.00","--","15416.00","549526.00","--","17440.00","11.05"
"110/05/29","102","4","1584","精剛","1113957.00","1156807.00","-42850.00","--","--","-42850.00","104643.00","--","-147493.00","-30153.00","-177646.00","275.00","-177921.00","--","--","-177921.00","2427.00","--","-175494.00","--","--","--","--","--","--","-2.16"
"110/05/29","102","4","1586","和勤","1323023.00","1098419.00","224604.00","--","--","224604.00","174983.00","--","49621.00","2590.00","52211.00","16567.00","35644.00","--","--","35644.00","40214.00","--","75858.00","35644.00","--","0.00","75858.00","--","0.00","0.80"
"110/05/29","102","4","1591","駿吉-KY","634877.00","515190.00","119687.00","0.00","0.00","119687.00","56736.00","--","62951.00","2740.00","65691.00","18384.00","47307.00","--","--","47307.00","-15787.00","--","31520.00","47307.00","--","--","31520.00","--","--","2.02"
"110/05/29","102","4","1593","祺驊","821137.00","639626.00","181511.00","--","--","181511.00","138199.00","--","43312.00","3198.00","46510.00","8649.00","37861.00","--","--","37861.00","13987.00","--","51848.00","47641.00","--","-9780.00","61628.00","--","-9780.00","1.83"
"110/05/29","102","4","1595","川寶","1150850.00","691108.00","459742.00","--","--","459742.00","168617.00","--","291125.00","22092.00","313217.00","72522.00","240695.00","--","--","240695.00","6958.00","--","247653.00","240695.00","--","--","247653.00","--","--","6.22"
"110/05/29","102","4","1599","宏佳騰","2135074.00","1634521.00","500553.00","--","--","500553.00","410948.00","--","89605.00","50904.00","140509.00","22643.00","117866.00","--","--","117866.00","-19182.00","--","98684.00","118452.00","--","-586.00","99270.00","--","-586.00","3.03"
"110/05/29","102","4","1742","台蠟","1551356.00","1492844.00","58512.00","--","--","58512.00","85163.00","--","-26651.00","2114.00","-24537.00","2986.00","-27523.00","--","--","-27523.00","-46.00","--","-27569.00","-27568.00","--","45.00","-27855.00","--","286.00","-0.43"
"110/05/29","102","4","1752","南光","1012922.00","716402.00","296520.00","--","--","296520.00","296972.00","--","-452.00","6154.00","5702.00","13520.00","-7818.00","--","--","-7818.00","224.00","--","-7594.00","--","--","--","--","--","--","-0.10"
"110/05/29","102","4","1777","生泰","502034.00","350686.00","151348.00","--","--","151348.00","68982.00","--","82366.00","10510.00","92876.00","15376.00","77500.00","--","--","77500.00","1603.00","--","79103.00","--","--","--","--","--","--","3.10"
"110/05/29","102","4","1781","合世","1344645.00","1171260.00","173385.00","--","--","173385.00","156651.00","--","16734.00","33581.00","50315.00","23019.00","27296.00","--","--","27296.00","12248.00","--","39544.00","27296.00","--","--","39544.00","--","--","0.59"
"110/05/29","102","4","1784","訊聯","694101.00","305879.00","388222.00","--","--","388222.00","383834.00","--","4388.00","11116.00","15504.00","6705.00","8799.00","--","--","8799.00","2550.00","--","11349.00","52340.00","--","-43541.00","54890.00","--","-43541.00","1.07"
"110/05/29","102","4","1785","光洋科","34241550.00","33223945.00","1017605.00","--","--","1017605.00","1286084.00","--","-268479.00","477483.00","209004.00","141611.00","67393.00","--","--","67393.00","142237.00","--","209630.00","52149.00","--","15244.00","193435.00","--","16195.00","0.13"
"110/05/29","102","4","1788","杏昌","2649891.00","2033872.00","616019.00","--","--","616019.00","381006.00","--","235013.00","41023.00","276036.00","55072.00","220964.00","--","--","220964.00","-397.00","--","220567.00","219111.00","--","1853.00","218714.00","--","1853.00","6.26"
"110/05/29","102","4","1799","易威","100272.00","104276.00","-4004.00","--","--","-4004.00","100999.00","--","-105003.00","-60314.00","-165317.00","306.00","-165623.00","--","--","-165623.00","3552.00","--","-162071.00","-165623.00","--","--","-162071.00","--","--","-6.40"
